id,course_title,course_credit
lZpHjD1SOurj,Urban and Regional Planning,2
vvQhCVPCkxE5,Instructional Design,3
hMsg71sbYmXN,Philosophy of Religion,4
kJ9PFDhCZ5CL,Biotechnology and Public Health,1
TGE1qJiMWsry,Strategic Management,3
jij9OE6L4iPQ,Philosophy and Literature,3
RLjioreEVIGE,Sociology of Education,1
oEJWsfoiiiRp,Public Policy Analysis,1
4772QVxTbqKV,Ancient Civilizations,2
MsmbWR9xvs6l,Disaster Management and Urban Resilience,1
tRSR19SmYNrY,Computer Networks,3
pFuzw8d6Ld0A,Social Media Marketing,2
lFojlEkiLB84,Journalism and Society,2
ncRuTqq4P8oL,Philosophy of Education,3
NLTtAZncSQaF,Latin American Politics,4
tlTntcYZZ5v0,Public Policy Analysis,2
9UyqDmmlv2Nn,Business Intelligence and Analytics,2
y7x50EjhyDtd,Sociological Theory,2
7SqJ6rOl1c8l,Enterprise Risk Management,4
Er43rIFQWSFP,Aesthetics,3
MlUYVDZlp8dW,Public Finance,2
n3EGr81202pF,Early Modern History,3
Su5gprzsL9TH,Educational Technology,3
VfeGLbBgleCm,E-commerce Development,2
a5bbgqBmpmnn,Human Resource Development,4
hUnpl1zIAHfP,Early Childhood Education,4
HDtfHRkb9dct,Tourism and Local Communities,2
pSQ1lVS4lunb,Software Testing and Quality Assurance,2
hItPnhBzF2Tw,Corporate Finance,3
EQWAF3C2ltqF,Urban Environmental Management,2
uXWEME85ZJYB,Workplace Diversity,2
VGnBdD3JmXzc,Cyberbullying and School Safety,1
WG5LsN8dJ0uC,Computer Networks,4
Uq0voqrLtqoh,Medical Sociology,4
cG53eakYU3Dn,Digital Media and Tourism,2
diaLi9wMYcDY,Social Inequality,3
6H4yMYwh23Lx,Cognitive Psychology,1
nVbeJSug7ZiF,Ethics in Psychology,2
pXjpqrvEKmJN,Social Media Marketing,4
S9WQyLTIZc5L,Art Education,4
fy5AcFmEvk82,Public Administration,3
H8ddd4jbjm0Z,Business Statistics,3
7GscKPZkuUAQ,Health Promotion and Disease Prevention,2
nEnYuPPCFuzS,Public Opinion,3
Mnkc365c2hKT,Public Opinion and Political Behavior,2
MV3DqzdHpw0U,Portfolio Management,1
VKVP9lN0ZcqG,Latin American Politics,4
memuTXit46DD,History of Modern Europe,2
OOr97rKFRKqG,Philosophy and Film,4
CeLT3kLgEEyN,Law of International Trade,1
m4veOmYukGFY,Behavioral Economics,1
hAXYmY21QZ7n,Agricultural Economics,2
W3eYCkKoaAsw,Political Economy,3
H1JaATVzpi22,Development Economics,4
jYKmnboZZvQl,Sociology of Aging,4
lZ5DU5Y4ekYx,History of Ancient Greece,1
JaRrHPCRIV1C,Business Communication,4
tsVxZriNbkos,American Government,4
N1hXATyWU7bk,Ecotourism and Environmental Stewardship,2
YLoAicWXSEx2,Corporate Communication,1
KZyPjYgrjEi9,Applied Ethics,1
WoyZH7cv1w08,Geospatial Technology and GIS,1
sfAnwBrqod1e,Political Campaigns and Elections,2
UWW2JqYYWkq8,Microeconomics,4
REAuimbKhpYh,Healthcare Informatics,3
SMt0lkXYQPcj,International Trade and Economics,1
WpPN892aRoJi,Philosophy of Law,2
q3rjh48yD9N1,Political Philosophy,1
MDWmiHYoCzbZ,Disaster Management and Urban Resilience,1
L7OEDLWMro6C,Political Philosophy,2
IeEn6VWt5SnB,Urban Sustainability,4
AdJEYE40tSjz,Social Research Methods,4
JI1hmAeysykv,Corporate Finance,3
ntRBoTkWvHDv,Psychology of Stress,3
M5cX0zkJQfMz,Philosophy of Technology,3
yDwe2NFFrd5m,Sociology of Mental Health,3
p8MTlwDGNtSO,History of Imperialism,2
jewCDTRRHZxM,Managerial Economics,1
UxRi8mOaFPFA,Science Education,4
03xaUlcOThRX,Financial Markets and Institutions,3
J9NoF47XRhSi,Financial Statement Analysis,1
KAQhIfDJ7c4J,Virtual Reality,2
0FLdhvPrl72x,Artificial Neural Networks,1
YbI7xBppeGCw,History of Africa,4
4MniXftxUSqt,Strategic HRM,3
Wl7wcbpJOETz,Media Marketing,3
RG4dzZ9j6kaE,Philosophy of Social Science,1
dELebIAVWO3d,Geospatial Technology and GIS,4
Y9yDuotSMeXi,Corporate Finance,3
O9OPG5htyYt6,History of the United States,2
4PRf7v6qIC4Q,Philosophy of History,4
NpCZL7X45WV5,Human Factors Psychology,1
0bwnEyKGcvMF,Political Technology,4
LxC9f9J2IvUh,Public Relations,3
WzfsInUeXOwH,Sustainability and Marketing,1
vtBfGH1KXeFV,Philosophy of Technology,3
mw4Cgw4abCCd,Event Planning and Management,2
E7TXeV5Zf5SS,Marketing Strategy,2
REerCLZUkHvd,Corporate Valuation,1
vVi5nSaBgqc6,Sociology of Education,4
OHAqjc4VhbNg,Industrial-Organizational Psychology,1
ThosoTJvB0Vc,Corporate Law,4
feJSJEOQe1Uc,Instructional Design,4
JvHoWWHunMzQ,Managerial Economics,3
P6LG24Of7cL1,Human Geography,1
VyuKA8KZIwLh,Philosophy of Religion,4
Hql7rOR9Ybiu,Asian Politics,2
65jPmkhK6meR,Psychology of Learning,3
Ju20yYJf0Txg,Introduction to Economics,4
4qcuFFcSoJIH,Mobile Security,2
2SQcbHAB0uRd,Broadcast Journalism,2
1Y15ZpMef5jV,Accounting Information Systems,2
18Yb0ulYGzDA,Social Policy,2
2keitiZhEurt,Environmental and Social Justice,4
BIsoaRuTZ0ap,Political Corruption,1
X9iS4Bnzy9h8,Global Supply Chain Management,3
hFffcAso9BCs,Business Negotiation,3
iQUGU0hPDUt6,Clinical Psychology,1
jL6Qa4g3r5ko,Artificial Intelligence in Business,2
QnEN55t1SzxS,Network Security,2
2EfiOqr1OWJS,Forensic Science,1
1w7ChfTgraae,Bioethics,4
mlfUJwbWtrlD,Philosophy of Knowledge,3
PNgJcZ46SFzs,Political Philosophy,1
YuzuDozZBN7M,Tourism and Local Communities,4
rHvCl7UpUAgd,Corporate Finance,3
g9bTaJjJVWjr,Financial Economics,3
4mBTy91lnEMF,Urban Economics,2
HbTPVveJzafU,Global Financial Systems,2
Cta5481wY2eS,History of Women in America,4
0Vd56V2aBJHa,Agricultural Economics,3
EhvFtkZ5FKw1,Public Health Policy,2
z103hS5xR8RX,Economic Development and Globalization,3
K83ztWOpFow1,Information Technology for Business,4
GyLjPWnThYqr,Biostatistics,4
TVra8at7v0EF,History of the United States,2
6XRSAFZIXaGh,Educational Technology,2
vdFGtZH3DjbK,Renaissance and Reformation,4
R1QB9yx1Xlhp,Economics of Health,3
5Qhs6esWl3mi,Sociology of Mental Health,3
KY2Vv0iURS0d,Healthcare Informatics,1
7l2JpRJW6TvN,Organizational Theory,4
CSz7C5iiEayV,Logistics and Supply Chain Management,1
gew85mHUzpr5,Public Opinion,4
VaxQ1V4M716Y,Abnormal Psychology,3
fxFrvditIu8q,Urban Politics,1
pxC1rv472NOM,Consumer Behavior,3
p9PPyMnp8rWo,History of Women in America,2
CDAWR7bC4Xd8,Cultural Studies,1
AzkjMJNVIEjT,Macroeconomics,2
eAy50nbNZThB,Ethics,3
2gMfpZHKCWDV,Urban Economics,1
nfznjGdhKtgg,Programming for Data Science,3
5CdhUkCdHOYZ,American Government,4
ajmjCYFS7GBo,Computer Vision,1
AmW18upafgKu,Quantum Computing,2
4gh8cI2Z4Vt8,Managerial Accounting and Decision Making,4
TngIVf71Q04N,Epistemology,4
03IJa16rGZp3,International Law,1
TpIZUQ0rMw4E,Urban Politics and Governance,1
2dV9smLbGIH7,Financial Markets and Institutions,1
mAuNpcHINqHJ,Microeconomics,3
RWc9Gqd7vb2G,International Public Health,1
yfB6OIuDJ9kl,Gender in History,3
zFY813UMa1Rt,Cost Accounting,1
iriO9JAySBUJ,Housing Policy and Development,4
hVtn67fV6k5f,International Taxation,2
CWhntdu8lKzC,Political Institutions and Democracy,2
UYgfcC1VcuQi,Taxation Law,1
vQyLX73cEj9n,International Marketing,4
1XRMHWLGvbbt,European Politics,1
qa27YxLYgYgs,Global Media Systems,3
MdWHqBztAzQu,Service Operations Management,1
Jj0IB6J5IGzV,Political Campaign Strategies,2
TKBQszByz5gJ,Cost Accounting,4
yq2TGhl2eMlp,Political Sociology,2
uqOqVH0E8XkR,Computer Programming (C++),2
XRs0Ugceu11i,Big Data Analytics,3
HoxNgSYTXOca,Philosophy of Technology,3
LWWPYSmXFWxm,American Government,1
ZGyEvEVHOMsj,Heritage Management,2
fYOg0uI7trrf,Strategic Marketing,3
hfIjxfWmG7Q0,Ethics in International Relations,3
lBtLcrWsxaPG,Teaching Methods and Strategies,2
6xfLuHMpBfKS,History of Medicine,3
3wFnlz7VJsMY,Service Operations Management,3
0thrhOk6i2aZ,Pharmaceutical Management,3
3ZmkOb7s1EnC,Hospitality Management,3
EPkb0i2G8HrS,Law and Society,3
rNigI7HzOoxL,Taxation Law,4
YSnuVEATSoZi,Environmental History,4
3u0uULLS1dOH,International Relations and Global Conflict,2
UFDkmD7sBCmI,iOS Development,1
QV1NEP6Ae4QG,Investigative Journalism,4
nEtOPNmwtQqI,Higher Education Administration,4
VNwMX1I5kw45,Agricultural Economics,1
pk0Izepr5nJq,Philosophy of Education,2
kwoETJDXhDP1,Educational Technology,4
0f0nrdl7dFkc,Forensic Science,3
R3Q9bF3N5yHX,Tourism and Local Communities,2
a2DW991Kwmtd,Financial Markets and Institutions,4
87kk4vQ8fX43,Environmental Policy and Politics,4
Sdvjh5o63BF7,Business Strategy,4
ruA0qinjUx3Q,Adventure Tourism,3
sxecGYq72orf,Game Development,1
ODgNzDwlz0W8,History of Modern Europe,2
WqcF0mA6yBpv,Media Literacy,1
GpTOkYS5Vp5F,Social Studies Education,1
T52O5MHKViCJ,Pharmacy Practice,4
J7kpdhQ8bmW3,Conflict Resolution,4
Avgl8exx3Jbd,History of Africa,2
cRXwmuuZiKhf,Sociology of Education,4
ez5AV5GNnYyF,International Marketing,4
0TfbzSRlu7k8,Sociology of Race and Ethnicity,3
hKxZDo6woRyE,Pharmacy Practice,1
R3EqYoUulv8M,Sustainability and Marketing,2
nbdrvVxAafWE,Philosophy and Film,1
G0th7EWPWg46,Introduction to Philosophy,1
OqZqj80YECgv,Political Economy,4
wwRbQ7eOLLKr,Python Programming,2
wh0yvuwHn3NQ,Investment Banking,4
qlV06gCpd2UA,Business Ethics and Corporate Governance,2
CirDK3BqbQAf,Digital Communication,4
QuUT5tSxpKAO,Information Technology for Business,1
v6moWYRkiDgo,Sociology of Families,1
CbX6bPga0bMx,Business Law,2
vqOaKW5lhELx,Corporate Finance,4
AhzRO7Rzvsb1,Introduction to Journalism,3
1XwasV4tTbnq,International Political Economy,3
RlEFtsSao808,Philosophy of Social Science,2
J5Xq9cDroWXf,International Trade,3
o1bh2deoQm8i,Artificial Intelligence,3
Pp2E8CLvfzI3,Environmental Economics,3
59uCYlMl01kG,Philosophy of Language,2
gwHBltQACgdM,Digital Marketing,1
W1ujKrGAFz5b,Medical Sociology,3
XW6zsBLcyk0M,Public Administration,3
uTA5zTGIY8We,Taxation Law,3
5wdU8b6tIq9C,Managerial Accounting and Decision Making,2
6R7yaDkpvFej,Macroeconomics,4
UzAkctMqWEu3,Qualitative Research Methods,3
eVdDHHARzLJu,Mobile Application Development,1
nTdi2xHoNIfq,Behavioral Neuroscience,3
2RiMwkABzi1S,Java Programming,3
W3K2ENawTZLw,International Organizations,3
QtcHtDNeI72u,Environmental Health,1
uDcCJEjlpFs6,Psychology of Decision Making,4
KLjtAWN3yaal,Psychology of Aging,3
GX7nXJq6P42Q,Global Health,2
NvB3mGeb6jwI,Corporate Finance,4
7bJuWfPpE1IW,Public Health Policy,3
0t2kp83GH51l,Advanced Sociological Theory,2
v3BzRqVgIxF4,Programming for Data Science,4
zYW7Y8mgJcZR,Organizational Behavior,2
YovVDapX9ZLP,Operations Research,4
TgFZv6yZ79VU,Healthcare Research Methods,2
7HDbfc4ocooU,History of Modern Europe,2
Ubp31KbAeWtH,News Writing and Reporting,3
2GC0fzHcJQ6V,Cultural Competency in Education,4
LeRiPINp0QNg,Managerial Economics,3
4zLfQEhgLs7E,Business Law,1
RyMsampVAi0T,Ethics,1
0td74LmCXQMu,Political Philosophy,3
4wWP8KuGXupa,Global Disease Control,4
YY0F0a8s1nwU,Auditing and Assurance Services,1
KFIIVHXIM81I,Public Health Ethics,3
Mi44TFXefWFG,Computer Architecture,3
B1No50JD8vTb,Special Education,3
MfvJePoXxoF0,Tourism and Local Communities,1
vvOwfLbzS6Er,Digital Media and Tourism,3
6tQFXkScxnn7,IT Project Management,1
H9r8TePwHExe,Philosophy of Technology,1
DmWK7lELfak4,History of Warfare,2
gOjC1fjwSdKY,International Marketing,3
GPZMAWqlLXMH,Employee Motivation,4
e4GJO2dq3vTW,Public Opinion and Political Behavior,1
slhoql3zmWRf,Web Analytics,1
lc4Gp1kGHFlP,Educational Research Methods,3
TJlFtlVxOD8M,Business Intelligence,3
Oemt2P2zNvld,Operations Research,4
u8q8x1mPNtzk,Business Communication and Writing,2
KQbeFhGZV9NC,Clinical Psychology,4
RnKoIw6RzPx3,Environmental Psychology,3
W7uaenY8nNMs,Sociology of Aging,2
H7IvgzO2uDhS,Financial Risk Management,1
UWLPjgWF8eec,Marketing and Technology,2
lxRIwjYQgS7w,Healthcare Administration,1
ZRYFjdGcRs3D,Corporate Entrepreneurship,1
Wxu11o7YZPCd,Sociology of Families,1
uSska9vtsxIf,Public Administration,4
XuEHJ7oDleNz,Qualitative Research Methods,1
VSlPuKb3AWnz,Cultural Competency in Education,1
0QlhulTgqcoo,Social Networks,1
JsB8Fr6hzktR,Financial Planning,2
nJrnYaPNBynC,Software Engineering,1
gcqgy5YiK5np,Introduction to Economics,4
B1UIND7jPyxi,Global Urbanism,1
Z9kI3k4gNf3L,Online Journalism,3
q5u4a6pp7Jo5,Financial Economics,2
hoB3kGSVOIDG,Youth and Society,3
zVVx3U8zjzzw,Cost Accounting,1
lwUHw6W4QGYf,Sociology of Work,4
WAZbd5FvQsAF,Cultural Studies,2
IUEe696uPLJt,Clinical Psychology,1
KA66tcUhpVh3,Computer-Aided Engineering,2
YXJjwvqdvN1y,Language and Literacy Development,4
4mnl8IAyPfS2,Managerial Decision Making,2
L7wTHcF89Ofd,Software Testing and Quality Assurance,3
9PBzIVT3p5vr,Global Perspectives on Education,1
L1Fpj66i3qol,Political Theory,3
0As2zKgjFcc1,Constitutional Law,3
TOTIG42JJlwR,Supply Chain Management,3
X1QlcVVt1WwH,Cultural Studies,4
zHwCkN3F44ZZ,Negotiation and Conflict Resolution,3
bwJ3OwI4a44n,Sustainability and Marketing,4
Hmey6WWZYl1x,Cold War History,4
yYDjzcrzWG9P,Web Analytics,3
VNo6YmJsXTaP,Consumer Behavior and Insights,4
8dQnV0PwGqYZ,Philosophy of History,2
3xr2yEzFQe4l,International Taxation,3
uFC8wYFyWwPv,Public Health Leadership,1
hwEF68NTXdRF,Financial Planning,2
hCizVbfk7Spt,Business Ethics and Corporate Governance,2
jBNQrJSRmoNk,Advertising and Promotion,4
AOSmUMVXmnq5,Urban Politics,2
jvGzVj7tdBmM,Advanced Financial Accounting,2
BqG0yq8sk2kB,Labor Relations,1
GKD0w3hgTcXe,Instructional Leadership,3
zRgVRVFlSeAF,Constitutional Law,3
DOhVbpTRqfNz,Investment Analysis,1
ZB65sopkHxbT,Environmental History,4
kvKgxojdf7Og,Web Analytics,1
bcuSaEgYsKxP,Computer Security Risk Management,3
gJblk0jZbz7M,International Relations Theory,4
2m0Uai9N381H,Social Research Methods,4
bualIq2RaOKl,Philosophy of Language,4
gke0FGB8s1wt,Corporate Entrepreneurship,4
H9slFF6DHuOj,Pharmacy Practice,1
JmVBTaLMG2yK,Human Resource Development,1
MjljD1zEsPML,Public Administration and Governance,4
zGKsUyWGa2R8,Labor Economics,3
Ut6izIcwhnHt,Microeconomics,2
iJ2NkdU0HOss,Energy Systems and Sustainability,4
1cAjwrYSe0HJ,Strategic HRM,3
UkO4RDP0AmUR,Philosophy of Knowledge,3
OA4bIwrpTBvB,Programming for Data Science,2
bZZnVCfYcKJR,Health Psychology,3
BdCjls4VTeN9,Psychology of Motivation,2
eiwPPkqnKcKA,Programming for Data Science,4
sg6LAKzAZqwk,Criminology,1
2p1K1Onygx37,Philosophy and Feminism,4
kUSXYSLVaoyS,International Political Economy,4
2iXQBaeagvFq,Globalization and Social Change,2
w5JGdg4C5vJc,Accounting Information Systems,3
zgAY6kfuZ7LR,Computer Vision,2
JRl44KikilJk,Sociology of Health and Illness,4
shvCnhTAaePK,Natural Language Processing,4
Nngw0C5AQUhB,Embedded Systems,3
uZR1d4FodJ5q,Environmental Journalism,4
JuO3jmTjVZDp,Financial Risk Management,2
wOeBI8zNgqlA,Middle Eastern Politics,2
MMaBQCPB5QQi,Business Ethics and Corporate Governance,4
mF0RR7fWjfMf,Global Media Systems,1
8OyhA8Bzmlvt,Business Ethics,4
De9JXDH6qJqb,Fundamentals of Psychology,2
y6GFJkAcpTBw,Media Production,4
fcjmXM3GDh8G,Computer Vision,1
HPajvJelylg3,Social Research Methods,3
1kx8URcb3Mny,Accounting for Nonprofit Organizations,2
ehPhvIeuQXLo,Comparative Politics,1
1r2SW1YmZTPB,Advanced Machine Learning,3
cqzhuWCpU5Fv,Tourism Policy and Governance,2
AzLfmmitjY0Y,Philosophy of Technology,2
Rk2GrC2sqj6x,African Politics,4
BKljISkeiQAX,Econometrics,2
T2DWzD5hXc1I,Social Networks,1
7NOpe8H2OZUS,Urban Geography,2
c7oER6gGEmVT,Aesthetics,1
MgJ4gilHzlkx,Data Science,1
DlY6sZLBKvtI,Comparative Politics,1
qpOeizKUHVmR,Enterprise Risk Management,1
Zm9woVXhr803,Computer Graphics,2
48xPTbQC8BAZ,Pharmaceutical Management,2
xT8thEsjKidq,Investment Analysis,1
5vTUdXlVYWPN,Sociology of Crime and Justice,3
2O4AFtrCf6Ay,Microeconomics,2
tiGXPOT19Jev,Ecotourism and Environmental Stewardship,1
SiF0wKS0CPiB,Object-Oriented Programming,3
GQMmWHi8qsn2,History of Political Thought,2
oQaOxiKeDiqh,Global Financial Systems,1
vdaisNyk1VYn,History of International Relations,2
nMhO3bPV8E3m,Epidemiology,1
STJd8lQerw9i,Latin American Politics,2
RNbq8nKWLTXX,Advertising and Promotion,4
0yOSe7h4TqzA,History of the Middle Ages,4
vccaUEPnnmqS,Introduction to Philosophy,4
HfaVBcfFk6T8,Human-Computer Interaction Design,4
p0AeqOfAnFOB,Environmental Law,2
8jrMKP1x913q,Corporate Valuation,3
sGweeTVbFE5M,Philosophy of Education,1
CfESzMjykXW3,Philosophy of Consciousness,1
Yz52eh7tCsgH,Media Literacy,2
iBWIyEu4EMfs,Abnormal Psychology,1
WrURdtudOdhq,Philosophy of History,1
LYv62RT0yNW0,Gender and Law,1
nNPufAefLJSA,History of Warfare,1
KEtgGaxdmvpU,Democracy and Governance,1
dEEM0n2lArmc,Mobile Game Development,1
eIj8jpgeRvhA,Macroeconomics,4
QflHDtwLPncN,Organizational Theory,2
mPBrYKYw4Hmm,Cloud Security,4
ecHkRaf75TTy,Experimental Psychology,1
u7Id4cM9uy9K,Computer Programming (C++),4
vbJgzw7ZHrtR,International Relations,3
nXdiEIO74hX4,Human-Computer Interaction Design,1
qKfI1gQs2rGP,Social Inequality,1
QR6zkqJH3HUP,Java Programming,3
kT5XQVOFw0Jl,International Political Economy,3
3t5yDA2baVQy,Urban Sociology,3
XAjEio0nVvvB,Project Management,2
ajdPwhrTO66J,Marketing Research,1
yiKG0hpM44Gp,Sustainability in Business,3
X6yybFIe2kPp,Quantitative Methods in Economics,3
jmASqymuSom6,Latin American Politics,4
vSBNkPL8XmsD,Media Marketing,3
MVyNoTHYUMNe,Healthcare Economics,3
ZOSbHJixuIK1,Philosophy of Mind,3
tAU55pxfZ9mr,Gender and Society,4
gMwaH3tec1tF,Public Law,2
FzGonS34DGJy,Broadcast Journalism,2
Pl3XXONIVHY2,Managerial Accounting and Decision Making,3
OrcJ7rDe3sTk,Urban Geography,4
ZA2JM0dYXHpW,History of the United States,1
tkgWrYy9xe6J,Logistics and Supply Chain Management,2
ipXwO39IUrHx,Marketing and Technology,1
ppkKtxRMoq3w,Business Law,1
3PZTfND4K7Dg,Political Economy of Development,1
w9xWhmzE7irx,Sociology of Race and Ethnicity,2
J4QFHZzn4FxP,Strategic HRM,2
BeWXiOVFCbZr,Business Communication and Writing,3
bcP7jucnS3rd,Entrepreneurial Marketing,4
BZbrdCRTDMeO,Urban Environmental Management,4
4CSmXevh4jyI,Healthcare Economics,2
VWi6QULTdjoG,Business Law,3
wfvM05AUMLhZ,Geospatial Analysis and GIS,2
4EaQwl3dVKbT,Multicultural Education,3
dNYEHjFnFpe5,Organizational Behavior,2
DJI51Ps2HJ7l,International Marketing,3
6l2n9hFR4kZG,Energy Systems and Sustainability,4
EFSUWa2M1NPx,Renaissance and Reformation,4
rYQ0vXsh9JFd,Urban Environmental Management,3
45KEM8Pethk9,iOS Development,4
GzGhL2QidPMU,Inclusive Education,4
kZ3Hd8j4pXAn,International Law and Diplomacy,3
GlGligzOG6Da,Environmental Economics,3
YPkp4dvpNQ8i,Existentialism,2
K6fiKQ9X4EBW,Global Health,1
8GTSCGnhfPzS,Technology Management,1
5SK8P0j1DgSV,Education Policy and Politics,1
EhRJfP0mchNb,Principles of Accounting,4
7kF3HflmscXT,Environmental Journalism,1
iR2eAKjRVBAP,Industrial-Organizational Psychology,4
kkuo9V9M8YCi,Psychology of Social Media,1
Dn8pVDxvm0Jz,Media Literacy,2
vQVgnUKUhE7Z,Constitutional Law,3
UgkwaUrzz4qP,Behavioral Finance,2
iZ408nNa8nRN,Social Networks,4
rbuBdP8c0wPm,Entrepreneurship,4
1gSYUTrPxPcc,Human Rights and International Law,2
5MF7J5v9YVeB,Operations Research,2
Qqb25D4gBVj9,Sociology of Aging,1
hW0Rbvb6bm55,History of Women in America,1
6rEqQNlZkUtZ,Corporate Finance,4
irxDoGWz5vJE,Environmental Politics,4
VrYQB41JEfp5,Adult and Continuing Education,3
jrp9uOJud1pr,Historical Geography,1
qQQXjXHwEo7o,Corporate Finance,2
keudVztfcvep,Global Urbanism,1
HyBBZBXq6U3e,Political Campaign Strategies,2
PTgvcUWYEQRG,Qualitative Research Methods,4
Dg8KQ3Z41LPj,International Political Economy,1
5vKEllX9fkph,Business Communication,2
KM5tkVSXDxqk,Advanced Software Engineering,2
hMogDo1SnNyx,Environmental and Social Justice,4
5lZpMt50rZXF,Geographical Information Systems (GIS),1
ovai1qjttDfW,Political History,3
vXCEez5B0zgs,Global Political Economy,2
sTkt3mkooTR5,Public Health Administration,2
DSU8qNWigG3E,Insurance and Risk Management,4
yq3CL5hnWF1J,Global Financial Markets,1
PSZLMF4XBSKP,Philosophy of Language,4
4YOXMEvIik7B,Sustainability in Business,2
84DnYiIgOoS6,Corporate Finance,1
7jBAhF6tP51X,Philosophy and Film,3
12xxeXDk7Vpl,Journalism Ethics,2
nVbfpKVfoSLx,Internet of Things (IoT),2
k497YmT46Fe1,Human Factors Psychology,3
4sJiUJ8V8dPf,Constitutional Law,4
5aA0QR6xc5U8,Business Analytics,2
XNfx4SWa9y7e,Art Education,4
CwHyEiHRnxZZ,Transportation Planning,2
ulHnJQdkJccM,Managerial Economics,4
b81yupLfWojG,Family Law,2
YMqxG83uKgbR,Forensic Science,2
V3w6512AX4OQ,Corporate Law,2
Qf8IZi5ARwDB,Social Justice and Political Theory,3
pBWIGHQ8eCVZ,Geography of Health,1
qCsBCDDHTlvE,Teacher Leadership,2
byQmCtklX8Xq,History of the Middle Ages,3
Qdgib4ZNxUWj,Comparative Government,3
6Mauc58jaAgG,Planning Law and Ethics,2
qgWF8rvNJM9X,Lean Manufacturing and Process Improvement,2
yzilCtTAMj9j,Introduction to Education,2
zXaNklPHODCV,Political History,4
peiEMzf6PbKP,Political Science,2
CjuYJ0cF6Kkt,Financial Statement Analysis,3
pFKf1s1wzXmK,European Politics,2
A4DcqoTJHMlt,Public Relations,2
zPnDriP3gGF8,Journalism and Society,3
SYZQeol3wpyi,Comparative Politics,1
1qTd0cFDxF0f,Psychology of Leadership,1
uziS2u9xewUU,Tourism and Local Communities,2
bW8QCzgp563k,Sustainability in Business,4
bKzckaaf9QvV,Principles of Marketing,1
MJmOIBPoLusU,Strategic HRM,1
5Ymoyn6pjwZ7,Social Networks,3
3SKI0n1J1JtI,Pharmaceutical Sciences,1
R7loqolm7y1q,Cultural History,2
G6ZvQzKotpUl,Philosophy and Film,2
tDFkBX5Hcan4,Game Theory,1
Kpo4olBLW0t0,Marketing and Technology,3
ZBZguhvnOmm8,Logistics and Supply Chain Management,1
gH6xwAtb3zO2,Project Management,4
0pKy5YGOugDi,Game Development,3
CuJJISFjtevV,Political Philosophy,1
BOOHGs7Jh4Uy,Teacher Leadership,4
JN3U7bPa5AE2,Psychology of Gender,3
wc8VIUHTNTH0,International Human Rights Law,1
GIBIWYJn2oMh,Ecotourism and Environmental Stewardship,3
bakfx1Yon7Wo,Operations Research,4
CuFURWJkIZSR,Political Communication,1
OVAFfC2pdcd0,Mobile Application Development,2
DNgxFEiYqQIK,Sports Management,4
2RYrVjvacXTt,Multicultural Education,2
V7hVlblXlnA1,Sports Journalism,2
Ix27eC1mPme8,History of Human Rights,2
