id,day,start_time,end_time,duration,school_year
w2B8L1WkLWuh,Tuesday,20:46:19,20:02:27,2 Hours,2004-2005
2dp1uJ61DGbR,Saturday,08:18:18,01:39:24,2 Hours,2012-2013
Pjnr68V89cSN,Friday,21:57:42,16:36:21,1 Hour,2018-2019
iePxmI3T2NfB,Friday,02:46:26,11:40:52,1 Hour 30 Minutes,2022-2023
yRiWOzva54vu,Friday,01:18:50,21:53:12,1 Hour,2021-2022
BBhaWvxEGxTs,Saturday,05:16:13,06:37:44,1 Hour 30 Minutes,2022-2023
bVh4MaHjDnAU,Friday,18:22:19,10:36:42,2 Hours 30 Minutes,2002-2003
qsfypcHCLUhK,Tuesday,08:27:41,23:49:44,2 Hours 30 Minutes,2012-2013
InFLYggInccn,Friday,14:49:57,01:08:57,1 Hour 30 Minutes,2013-2014
gDXmYnYdCS85,Wednesday,18:47:56,01:25:04,1 Hour,2024-2025
XClnnn47g7xt,Tuesday,05:39:03,00:09:38,2 Hours,2016-2017
saLaUBvsbvZb,Sunday,00:08:37,15:53:11,2 Hours 30 Minutes,2013-2014
0PTd3m7obdlD,Monday,14:02:24,18:39:03,1 Hour,2018-2019
LdHcgbLCZfe4,Monday,03:14:40,04:37:20,1 Hour 30 Minutes,2003-2004
LQ18LYorr6wA,Wednesday,01:54:46,18:53:25,2 Hours,2009-2010
8DWpNOtSMBfc,Friday,07:55:24,08:15:42,2 Hours,2010-2011
Diyua71dkKZv,Wednesday,11:14:24,12:52:39,1 Hour,2003-2004
4pdhMirqrzGy,Friday,04:56:10,18:21:05,1 Hour 30 Minutes,2011-2012
LIZHfSZYBm8g,Tuesday,12:11:23,06:20:21,1 Hour 30 Minutes,2003-2004
IT2qQ6QtUcQO,Friday,21:46:32,15:50:08,1 Hour,2018-2019
RtUbDgB4yUEc,Tuesday,06:48:06,18:36:21,1 Hour,2025-2026
rVAG15k71RS1,Monday,14:15:44,19:56:17,1 Hour 30 Minutes,2025-2026
2vzUequLi2A5,Thursday,11:46:44,23:38:25,1 Hour,2018-2019
d14qHO2l9Mo8,Monday,14:06:15,10:40:20,2 Hours,2025-2026
LRMBfhmin7IY,Sunday,19:56:59,20:15:40,1 Hour,2014-2015
COGN0lBGISct,Tuesday,19:48:31,16:54:10,1 Hour 30 Minutes,2012-2013
9S4H8wg0Hpsa,Sunday,20:58:34,23:55:35,1 Hour 30 Minutes,2013-2014
iTgZuC2Ub9H4,Saturday,14:16:39,00:44:17,1 Hour,2010-2011
deedcu8Ccy73,Saturday,08:00:16,04:13:34,2 Hours 30 Minutes,2016-2017
CzDF0q0vNhXp,Sunday,20:55:51,00:53:33,2 Hours,2005-2006
Rlf8aqPO8u1v,Friday,12:02:47,04:17:11,1 Hour 30 Minutes,2024-2025
uEx3HIJY9Tng,Sunday,14:32:25,05:24:53,2 Hours 30 Minutes,2023-2024
YxE1ndaTPxxE,Saturday,12:05:36,12:28:51,2 Hours,2014-2015
HCowLfzqbPIQ,Thursday,04:58:58,08:24:43,2 Hours,2018-2019
8jEeWqveUc5H,Wednesday,10:02:55,17:25:00,2 Hours,2008-2009
Dsz7FflcOwu2,Wednesday,01:15:42,20:58:57,1 Hour,2016-2017
Ez7UDXK79Sen,Monday,11:21:35,09:20:37,2 Hours,2018-2019
ozQb9eKZOyP7,Tuesday,22:07:56,06:30:43,1 Hour 30 Minutes,2012-2013
0LN01clCpsWN,Monday,23:44:59,16:46:54,1 Hour 30 Minutes,2013-2014
a8hIqJPar7C5,Thursday,18:29:01,10:53:07,2 Hours 30 Minutes,2023-2024
kGW4KahTKHeE,Wednesday,18:16:27,02:13:53,1 Hour 30 Minutes,2021-2022
v5foA7fBXIlx,Saturday,11:59:41,12:16:06,1 Hour 30 Minutes,2022-2023
UX4IH9RVWT9K,Sunday,17:23:08,08:05:06,1 Hour,2018-2019
kIGp9MIaCsoW,Monday,05:35:29,06:24:33,2 Hours,2009-2010
OAPP2t5pOQ2p,Sunday,15:08:55,19:13:48,1 Hour,2018-2019
wqT7QFFDHymw,Saturday,18:32:53,23:18:47,1 Hour 30 Minutes,2018-2019
Zy8EMALC2jdU,Friday,02:34:43,17:28:22,1 Hour,2010-2011
3tZJ7eqPLHPq,Sunday,02:11:24,22:20:59,1 Hour,2026-2027
JaHKimCw6l2f,Thursday,05:41:58,04:37:20,2 Hours 30 Minutes,2005-2006
irsVSio5rgno,Monday,06:24:28,00:13:29,2 Hours 30 Minutes,2022-2023
KzzJJnpVvmhO,Sunday,17:21:51,23:28:31,2 Hours,2014-2015
xSqe4DAgnNXC,Monday,19:12:02,18:47:18,1 Hour,2016-2017
WaW3NT7vbsvf,Tuesday,02:03:13,09:43:21,1 Hour,2011-2012
uVBZRSVZK6U3,Wednesday,17:55:54,17:09:30,2 Hours,2010-2011
piqe4zBEgPhA,Wednesday,04:48:24,05:07:44,2 Hours 30 Minutes,2011-2012
Ba9O9AhvfbH7,Thursday,20:31:05,08:55:29,1 Hour,2014-2015
PgNLfHT7oxmS,Wednesday,22:54:51,20:50:11,2 Hours,2007-2008
YjhT4CwactFH,Saturday,05:03:43,13:31:01,1 Hour,2002-2003
qRdtvzPYGRlP,Tuesday,17:33:31,15:45:32,1 Hour,2009-2010
EtpfWKZMzkWg,Wednesday,15:15:27,05:09:24,1 Hour,2024-2025
BIONCGtEbqif,Monday,13:08:59,03:58:16,1 Hour,2005-2006
v8p54Oz7cMQ8,Friday,15:56:24,18:58:28,2 Hours,2014-2015
mDlNYOigRmKj,Thursday,05:18:39,03:24:09,1 Hour 30 Minutes,2019-2020
LyGNj3y0QuNE,Saturday,20:53:28,14:32:57,1 Hour 30 Minutes,2005-2006
ZNFrk6vRPrXZ,Friday,03:40:32,19:06:36,1 Hour 30 Minutes,2027-2028
zt6gGA5aLKBs,Friday,14:55:35,22:40:23,1 Hour 30 Minutes,2016-2017
6pDWwfIdP841,Thursday,00:36:02,00:54:49,2 Hours,2004-2005
9ImsKDbrVLwj,Monday,19:20:37,03:15:11,1 Hour 30 Minutes,2004-2005
g8c8w0zNX44D,Thursday,08:47:20,05:53:11,2 Hours 30 Minutes,2004-2005
yVwULNhv5cPY,Tuesday,08:39:05,19:48:53,1 Hour,2015-2016
EhAz0GDRNLtu,Sunday,23:50:53,18:34:43,1 Hour,2006-2007
iR5y0BIGGBje,Monday,12:01:11,10:52:40,2 Hours 30 Minutes,2015-2016
GJQTk4HRj7cs,Thursday,23:15:37,05:27:29,1 Hour,2014-2015
Ug1ACPRehazI,Monday,09:50:05,23:07:14,2 Hours,2015-2016
AKxeJu9Wh29m,Wednesday,13:10:01,01:21:46,2 Hours,2009-2010
EJziG1OT97TI,Saturday,09:18:52,18:51:53,2 Hours 30 Minutes,2001-2002
JlpUMIOHOEMn,Sunday,17:26:21,16:50:54,1 Hour,2003-2004
GO8dit6TcRYV,Monday,12:07:52,03:06:27,1 Hour,2012-2013
O3aOsyEMg4qi,Thursday,02:35:45,01:56:42,1 Hour 30 Minutes,2012-2013
ykAUIOBk0a4V,Monday,04:38:30,06:09:57,1 Hour 30 Minutes,2027-2028
EHBBySbtDdjI,Sunday,16:20:32,04:14:56,1 Hour 30 Minutes,2018-2019
k3HDCXgeWk7x,Tuesday,15:31:07,12:25:03,2 Hours 30 Minutes,2016-2017
zqyY16Jj0a5G,Wednesday,15:28:23,06:10:01,2 Hours 30 Minutes,2008-2009
IlVAAJvLfvA2,Tuesday,13:10:41,17:33:04,1 Hour,2027-2028
xIPvkJoLDs6Z,Sunday,16:00:44,11:50:05,2 Hours 30 Minutes,2025-2026
CF4eL1G9fXRk,Monday,12:23:27,11:04:09,2 Hours 30 Minutes,2009-2010
cpbzrBICsBla,Wednesday,00:41:07,08:51:02,2 Hours 30 Minutes,2008-2009
ZdliGu1MU0cj,Saturday,07:04:00,18:51:52,1 Hour 30 Minutes,2012-2013
TtlC98uNMU9B,Saturday,20:46:08,19:53:56,2 Hours,2008-2009
3ddhtFLId915,Tuesday,02:47:36,22:40:06,1 Hour,2020-2021
poQIcZ4NaRAa,Sunday,22:20:01,11:01:02,1 Hour 30 Minutes,2007-2008
7LeNM82Hcx4a,Monday,13:40:24,14:13:39,2 Hours 30 Minutes,2026-2027
eYZz4urKHoM7,Saturday,18:11:47,11:56:51,1 Hour,2021-2022
gWY5qzf8pReN,Friday,21:13:57,20:26:06,2 Hours 30 Minutes,2002-2003
VLOTCGkwCPTg,Friday,08:34:35,09:37:21,2 Hours 30 Minutes,2003-2004
UnncWrv4o3bc,Tuesday,09:34:21,16:57:23,1 Hour 30 Minutes,2009-2010
DIT2g2pKG6eu,Tuesday,15:24:12,12:20:53,2 Hours,2016-2017
fYECfFTCBPOM,Sunday,23:50:57,04:37:57,1 Hour 30 Minutes,2027-2028
CVdnRVgDD2hT,Wednesday,15:03:20,12:31:46,2 Hours 30 Minutes,2001-2002
pFaNaKDfimj0,Monday,12:46:07,08:43:06,1 Hour,2003-2004
Y29aRaorOHdI,Friday,23:28:32,11:41:59,1 Hour,2026-2027
l6G4VBMbGKGQ,Tuesday,02:39:51,23:51:02,1 Hour 30 Minutes,2010-2011
8T32SokFpBnJ,Thursday,17:43:11,21:56:32,1 Hour 30 Minutes,2007-2008
uExEnnXL4WxR,Sunday,14:05:59,07:34:22,1 Hour,2015-2016
FlHpmEuNYNjb,Sunday,04:54:42,08:47:25,1 Hour,2001-2002
CQGde3Cl3SHc,Wednesday,03:19:16,15:30:13,2 Hours 30 Minutes,2020-2021
WlugHs0Bq9Em,Saturday,21:19:47,06:10:03,2 Hours 30 Minutes,2011-2012
rBIoXrDWEnP7,Thursday,19:19:11,23:27:59,2 Hours,2027-2028
ZTAyecifszkR,Tuesday,06:14:25,14:16:25,1 Hour,2003-2004
nooHY1m1bJQE,Sunday,00:14:27,09:09:50,2 Hours 30 Minutes,2016-2017
pUIojmzd49FJ,Monday,16:59:22,23:07:13,2 Hours 30 Minutes,2002-2003
5nx51BNdvRcz,Sunday,02:16:15,02:15:24,2 Hours 30 Minutes,2020-2021
nSlCL6ZS3HUt,Saturday,11:06:55,03:32:20,2 Hours,2025-2026
7jsGrpZbCSz5,Tuesday,14:26:12,10:59:56,2 Hours,2018-2019
jqoMRmnOtKi8,Saturday,16:14:25,10:32:53,2 Hours,2001-2002
RjhvAC5hLlev,Sunday,18:26:36,03:34:41,1 Hour,2003-2004
IY1WGPSnC8f0,Tuesday,16:36:24,20:15:09,2 Hours,2018-2019
G3wGEzZdQveL,Wednesday,03:46:05,04:48:06,1 Hour 30 Minutes,2015-2016
zlwWf9CplLS1,Sunday,06:24:51,22:48:20,1 Hour,2008-2009
8lP8kG7v6crZ,Tuesday,11:07:07,12:50:16,1 Hour 30 Minutes,2010-2011
on8RR9rfjGM4,Sunday,12:25:56,21:44:40,1 Hour,2015-2016
tAJql4gANDc7,Friday,22:07:10,10:55:08,1 Hour 30 Minutes,2008-2009
nmW9GMTZLMd6,Tuesday,04:53:28,13:03:26,2 Hours,2010-2011
vplbI3ajIDd1,Wednesday,18:21:19,03:03:55,1 Hour 30 Minutes,2014-2015
CdKjGyERLRuj,Thursday,19:10:47,00:58:44,2 Hours,2022-2023
Tmj48rCwbj0Q,Wednesday,07:40:27,20:56:08,1 Hour 30 Minutes,2022-2023
XqFCiIxC5qp1,Monday,18:06:59,08:19:50,1 Hour,2001-2002
WfZa2lPIYvcx,Sunday,05:14:13,05:16:05,2 Hours 30 Minutes,2010-2011
cC4uR4Iypy6A,Saturday,10:42:07,19:28:19,1 Hour,2004-2005
WCE0NKPvuDnn,Thursday,20:59:29,20:03:15,1 Hour 30 Minutes,2016-2017
esplaCrPFdB4,Tuesday,23:23:03,13:21:12,2 Hours 30 Minutes,2004-2005
ibEVEMotVO37,Sunday,08:33:04,05:28:37,1 Hour,2011-2012
GyB7LBt5TL2X,Wednesday,02:30:36,19:38:26,2 Hours,2023-2024
Bk98RvirptGe,Saturday,10:04:33,14:13:04,1 Hour,2003-2004
3bhpgdMoMQ2O,Thursday,15:13:21,20:47:16,2 Hours,2026-2027
2m1t7FjTbj8B,Sunday,15:35:22,10:47:39,1 Hour,2012-2013
hcaf5wKJumPv,Saturday,09:03:46,22:37:36,2 Hours,2020-2021
d7ZgSKpGFEQ8,Wednesday,05:28:01,05:43:39,2 Hours 30 Minutes,2022-2023
iEvXnJNWGy6V,Wednesday,05:52:27,00:49:56,2 Hours 30 Minutes,2003-2004
7EEOeVOjJfZx,Friday,15:39:07,02:03:12,2 Hours,2019-2020
04h4gB6x4Pf3,Friday,08:27:33,12:00:13,2 Hours 30 Minutes,2022-2023
HWLnuksss7HX,Tuesday,14:41:17,12:35:46,2 Hours 30 Minutes,2027-2028
Na4z7Eer3mmy,Saturday,04:46:02,22:37:07,2 Hours,2010-2011
tAg5s0POPFFU,Tuesday,16:48:29,14:24:15,2 Hours 30 Minutes,2019-2020
EDiUSIOoXf8G,Sunday,19:00:28,03:15:47,1 Hour 30 Minutes,2015-2016
zMCSPSxaD3Tg,Saturday,08:59:33,08:05:23,1 Hour,2010-2011
L8rZ5qUvz64L,Friday,06:33:21,00:14:00,2 Hours,2023-2024
VvjXOC4Fkpkp,Monday,12:46:18,00:20:03,2 Hours,2001-2002
TuTtU8vYH3vp,Monday,08:09:00,18:02:10,1 Hour 30 Minutes,2003-2004
