id,start_date,end_date,weighted_mark,school_year
ztenIbiX75CJ,2023-12-13,2024-07-31,57,2002-2003
fe69CCiDr7AT,2024-04-04,2024-05-09,55,2026-2027
aihyislLR8tM,2024-10-09,2024-11-07,83,2007-2008
FxKdlRwNEa9R,2024-09-04,2023-12-16,52,2026-2027
PEWvDhyeZlVf,2024-06-03,2024-11-28,86,2007-2008
UNbOLyZ1SizV,2024-06-25,2024-06-18,68,2004-2005
tu6KvDsjjYuM,2023-12-05,2024-07-06,65,2002-2003
HbnqCELY5S4P,2024-10-07,2024-08-18,63,2020-2021
LF2UHTPWvPi6,2024-11-04,2024-11-25,73,2009-2010
XAK3tPDVtqwb,2024-05-13,2024-12-04,81,2025-2026
XLTPmzzLpwsQ,2024-11-09,2024-12-04,82,2021-2022
COyqvVrJZg6W,2024-05-02,2024-04-10,87,2008-2009
yv4q98YEJxpD,2024-01-28,2024-07-08,90,2018-2019
jWaBAlyrwKXB,2024-05-24,2024-08-10,75,2012-2013
rC4gpn3g1Enf,2024-01-07,2024-09-16,91,2022-2023
6GcZee3iFOss,2023-12-30,2024-06-22,86,2017-2018
Jij53qgWfHZY,2024-11-21,2024-03-30,94,2016-2017
f3pcGKFj7gUl,2024-04-02,2024-02-22,96,2002-2003
DoFxBvIGjVsa,2024-04-01,2024-01-16,79,2023-2024
1NduDb1x9x17,2024-11-30,2024-06-10,77,2010-2011
MM8P8pj2q7ZR,2024-07-04,2024-02-16,69,2021-2022
YPLpqziIu0Hs,2024-09-07,2024-04-17,75,2016-2017
H6za6zOh21IX,2024-09-22,2024-07-10,65,2010-2011
ItwzcXPzhQzT,2024-05-20,2024-04-26,98,2022-2023
niQ5RIz1nUBM,2024-06-23,2024-03-21,93,2005-2006
MnSVspRwGZn4,2024-10-15,2023-12-29,90,2018-2019
vkup5apuK5eM,2024-10-01,2024-04-05,64,2025-2026
0ZG5wiGzkfSi,2024-01-23,2024-11-29,67,2005-2006
OYTLszHrUVKq,2024-06-01,2024-07-12,81,2006-2007
sJos4jqAJsMC,2024-11-22,2024-06-27,89,2007-2008
LabSuDJXdSeU,2024-02-03,2024-03-12,50,2010-2011
Nlv8t7AsIxgx,2024-11-19,2024-04-01,100,2002-2003
sISRkdFvclWW,2024-07-03,2024-04-12,100,2013-2014
0tdRo53ZnP54,2024-11-23,2024-03-08,51,2007-2008
QcVVohA6fkee,2024-04-25,2024-06-03,62,2005-2006
uMU7hRUlj7bE,2023-12-22,2024-07-14,90,2003-2004
QK3qHvknoJON,2024-01-20,2024-04-27,50,2005-2006
iabZWcNzrBoG,2024-05-13,2024-02-26,61,2026-2027
ffIFerNTiW4w,2024-11-10,2024-03-30,71,2013-2014
rNZ7bjhxvxXC,2024-02-24,2024-05-24,81,2018-2019
mvMFXRbuIh42,2024-03-30,2024-01-09,79,2022-2023
RZ3uOyAHjp33,2024-10-21,2024-09-22,71,2009-2010
M6t5D34sOj7U,2024-09-01,2024-06-30,100,2018-2019
8TKEwrT7wv93,2024-08-05,2024-05-25,57,2010-2011
gYATl1WFNe7m,2024-04-30,2024-06-05,82,2017-2018
3d0AKgWbY9iF,2024-03-08,2023-12-29,68,2007-2008
XG8U0qTQ1LVk,2024-05-12,2024-12-13,60,2016-2017
BAGWSSiy8gkl,2024-09-24,2024-02-11,60,2009-2010
ncLdn3Sftq68,2023-12-18,2024-10-17,55,2027-2028
TrLYnT6qeeU1,2023-12-30,2024-11-12,94,2007-2008
fELbb0GeITm5,2024-09-05,2024-04-17,58,2012-2013
9Pz3BvFD4oPh,2024-08-20,2024-04-02,76,2007-2008
4HBzcLmZyawv,2024-10-10,2024-05-28,70,2018-2019
T411iN3CKwdH,2024-11-20,2024-08-07,55,2023-2024
4fGf09KtjdMJ,2024-07-05,2024-06-24,61,2002-2003
zSSMnNHKSCqu,2024-06-25,2024-11-04,79,2014-2015
kI85LqVCzlWC,2024-01-20,2024-02-06,51,2013-2014
FZx3oJZkRwoV,2024-04-21,2024-09-13,82,2014-2015
fVDJnFDbnzc3,2024-10-05,2024-01-10,65,2013-2014
Qc3NL0q0umnF,2024-03-22,2024-07-09,86,2008-2009
vZuHiNH3ATky,2024-10-13,2024-05-06,91,2013-2014
nnSvTiHtvsBe,2024-04-03,2024-06-20,81,2018-2019
DQSROelDf4uL,2024-06-15,2023-12-31,67,2024-2025
Slq2vwChdpfB,2024-10-30,2024-02-05,88,2024-2025
SMuun3PAYvzL,2024-02-25,2024-04-24,93,2004-2005
8g2TcltOzNJ8,2024-11-05,2024-01-27,84,2022-2023
aKPA9Ajf1CiM,2024-08-11,2024-08-09,70,2007-2008
qJpSRt9K0awz,2023-12-10,2024-04-29,89,2024-2025
lFKKJwSDWYEB,2024-10-14,2023-12-29,56,2018-2019
MhJKclDHoptr,2024-08-31,2024-03-09,58,2023-2024
fQgsGy2PP7wX,2024-05-08,2024-03-04,93,2006-2007
gALdLFOKtWqB,2024-07-07,2024-08-05,92,2009-2010
W5u9igLxcoqr,2024-06-09,2024-01-23,53,2010-2011
4VElTen2xLB1,2024-11-20,2024-11-07,55,2017-2018
LmT6Itlm7z7S,2024-04-09,2023-12-27,77,2013-2014
rKugEkZqr6gX,2024-06-05,2024-07-06,100,2027-2028
q9OQmJCATCpF,2023-12-03,2024-02-08,61,2011-2012
RWveJYtIDBdw,2024-10-16,2024-01-08,88,2005-2006
wNs8VOcmAAdR,2023-12-08,2024-06-28,59,2021-2022
xNxjRJk3mgLJ,2024-11-16,2024-07-29,58,2011-2012
r7TSpIvuPNhQ,2024-06-12,2024-11-04,62,2010-2011
aZMpvHtnIvq2,2024-09-16,2024-04-04,99,2016-2017
0LPFKuQ3pQ4b,2024-10-02,2024-01-04,57,2003-2004
wDyEktxDAjg4,2024-06-17,2024-02-07,68,2016-2017
VfYgIgg3rUgX,2024-11-23,2024-12-28,69,2023-2024
1ujp5bVUrqYI,2024-06-28,2024-01-12,99,2003-2004
mxbuYGcpfq7c,2024-03-10,2024-04-22,81,2015-2016
Xx5unmrSavIA,2023-12-16,2024-07-30,91,2007-2008
2so6w1kwFUin,2024-08-15,2024-02-08,50,2013-2014
uCKjld7Wwhsx,2024-09-30,2024-09-07,67,2001-2002
vP9Bwq5SwsJu,2024-10-22,2024-06-09,66,2017-2018
XbySl5TsSPMq,2024-08-31,2024-10-13,95,2011-2012
Ovr7Q47EdjCJ,2024-11-13,2024-05-10,92,2006-2007
u8Ii87kJnfKb,2024-03-05,2024-10-12,71,2003-2004
wMIIExZwXUVL,2024-07-08,2024-07-29,94,2002-2003
p8bsrbousWfA,2024-05-20,2024-06-24,63,2002-2003
XHdpGTwBJjas,2024-05-08,2024-11-20,55,2004-2005
XgIoIDONFQkW,2024-01-01,2024-05-17,60,2008-2009
PUhbeqYDTsXN,2024-05-26,2024-11-23,83,2002-2003
E5UWnEVFVFNP,2024-06-23,2024-09-21,96,2025-2026
g2L8QscZwxKt,2024-01-22,2024-02-17,85,2018-2019
c2VZPPQiJ6B4,2024-05-17,2024-01-15,58,2018-2019
5AvOsqWBlhO9,2024-08-21,2024-10-04,86,2023-2024
dohfLZ13Z5Wj,2024-03-04,2024-03-23,72,2009-2010
i8V06cQKK4Q7,2024-07-23,2024-10-06,65,2004-2005
YRbDpe57QzRd,2024-04-05,2024-04-25,53,2025-2026
WEgDjDYUYWzz,2024-01-11,2023-12-19,55,2009-2010
Jf2Gku7reqMP,2024-11-27,2024-06-27,97,2026-2027
ZlYi71RyDJal,2024-06-08,2024-02-27,68,2019-2020
cyDb2YbmAIgG,2024-06-26,2024-07-05,99,2016-2017
cfi3g08NwLpW,2024-06-01,2024-08-03,71,2005-2006
L72jCgc901EM,2024-03-19,2024-09-10,88,2027-2028
wgnYyGr8mphM,2024-10-07,2024-10-04,88,2002-2003
Mw5xQCcSfUpx,2024-06-25,2024-10-29,73,2013-2014
6VvCbWXpsgIZ,2024-03-16,2024-01-24,82,2025-2026
7rObCuhtHVtC,2024-07-01,2024-11-08,71,2004-2005
Z0MGSUrRTPio,2024-07-16,2024-11-09,68,2020-2021
Wiv2k8YbnWs7,2024-07-27,2024-08-06,90,2022-2023
zCcX3xgHpCYB,2024-10-12,2024-11-11,94,2011-2012
aNQo3maYe1rq,2024-05-04,2024-08-11,78,2002-2003
5WnJbMwny2Py,2024-05-15,2023-12-28,82,2020-2021
KCY7DytPbClZ,2024-10-10,2024-08-30,74,2023-2024
ndleBmGUqeC2,2024-03-23,2024-06-10,54,2011-2012
zkoG145sC2pj,2024-01-31,2024-04-27,51,2009-2010
DJd8e1QUJs13,2024-05-24,2024-02-18,82,2019-2020
5umiODg97xGA,2024-01-24,2024-11-26,77,2014-2015
iEWVOxhPrrsP,2024-08-10,2024-02-03,67,2013-2014
yo28NXBNcb9D,2024-02-04,2024-10-03,79,2018-2019
JY7bLMtOKSiS,2024-11-08,2024-01-23,78,2002-2003
AM5hMS56LPIx,2024-07-26,2024-11-27,88,2021-2022
kHqOvatTbrzE,2024-01-29,2024-05-01,93,2023-2024
GlzPpTqY3aIp,2024-06-16,2024-12-14,55,2026-2027
bfiM7YT7laWR,2024-02-12,2024-10-21,70,2019-2020
3i2YDA8viQlo,2023-12-18,2024-11-04,65,2014-2015
WVNK8QTWuxWM,2024-04-23,2024-04-10,67,2002-2003
E696azudaNzh,2024-06-02,2024-03-31,100,2008-2009
p9PmOzZBFLKt,2023-12-10,2024-08-18,100,2013-2014
XeFvYFmXospO,2024-05-31,2024-09-28,91,2010-2011
hBXZvJOxj7R1,2024-09-18,2024-01-05,100,2008-2009
o0LqFmaOAAVl,2024-02-09,2024-05-20,64,2010-2011
QoT6ayULFvC6,2024-01-04,2024-03-23,75,2017-2018
5eHCpqrrOD1R,2024-04-20,2024-02-22,57,2027-2028
oBZfN89LF2Hw,2024-05-07,2024-01-05,97,2007-2008
iw9TPeDBYIZ3,2024-09-12,2024-12-02,72,2007-2008
mbEIzayV28Gu,2024-08-26,2024-10-24,61,2026-2027
m9TKsAAFJEiq,2024-05-10,2024-09-10,97,2025-2026
5Ku8lTL9Ka4m,2024-06-29,2024-04-12,78,2021-2022
Yf4EYmbYWJSS,2024-10-26,2024-04-19,59,2016-2017
Z921AmKYqSMl,2024-07-01,2024-01-28,63,2018-2019
OK0uGztR9FOz,2024-06-16,2024-10-10,53,2003-2004
aHg4GWCPpVgP,2024-01-05,2024-04-29,89,2001-2002
UNI9uGNIKXXa,2024-03-30,2024-02-18,83,2011-2012
ZJFqYCa65Buh,2024-08-27,2024-08-03,70,2015-2016
C5Bm8TJsTrmX,2024-07-03,2024-06-12,76,2020-2021
4R9tH3xJviY3,2024-08-06,2024-03-16,72,2012-2013
AZy2TqHGeA3e,2024-10-24,2024-12-21,98,2025-2026
pDbeiUSSut3Z,2024-11-10,2024-02-04,54,2011-2012
NCkwxk2bovBb,2024-08-14,2024-02-03,56,2005-2006
FEaXMKv4FdB1,2024-09-06,2024-04-21,65,2017-2018
UnJvkw0Aaqwm,2024-01-26,2024-05-26,59,2026-2027
jMYmoZnZxvOH,2024-06-17,2024-03-07,60,2011-2012
pti2FRE6f4WQ,2023-12-18,2024-12-03,84,2011-2012
EwaPn6pFnhp9,2024-08-14,2024-03-09,85,2007-2008
m2wZOZi1dWrO,2024-03-15,2024-02-17,73,2014-2015
gAJHZiJxpHne,2024-03-02,2024-08-08,59,2025-2026
SPelO6hxSKtB,2024-06-24,2024-09-06,58,2004-2005
sIUBMufByqHk,2024-01-27,2024-01-06,78,2024-2025
5QMIYL753NPo,2024-01-21,2024-12-05,50,2020-2021
WcuklxNQZVyP,2024-03-31,2024-09-13,74,2025-2026
LH6Z7AD3Xj1c,2024-06-14,2024-05-13,52,2018-2019
lNhn2GveMO46,2024-08-05,2024-03-09,79,2020-2021
9mIkrr5nLH47,2024-01-09,2024-01-18,89,2013-2014
6vAyxXY4vED6,2024-02-25,2024-01-14,98,2006-2007
ZtRqrtqI2DCm,2024-09-05,2024-09-05,86,2001-2002
YQusSyk43KbD,2024-08-08,2024-05-02,74,2019-2020
N34k5dREOLvI,2024-05-10,2024-04-13,76,2025-2026
X272ZuVReiQy,2024-05-21,2024-11-23,68,2013-2014
Z4LJWV1KH5ZM,2024-10-14,2024-08-04,92,2012-2013
5hLdWul0Yy7M,2024-02-18,2024-01-06,94,2026-2027
Z316yASBrcb0,2024-11-13,2024-06-05,53,2012-2013
ykK6HvmHONe1,2024-05-23,2024-10-05,87,2007-2008
H8kQm9bWmN8S,2024-01-14,2024-05-16,66,2013-2014
gj15ygJUX3Je,2024-11-07,2024-06-19,68,2020-2021
srYuJpqJn6Wl,2024-10-13,2024-11-30,91,2003-2004
xAAQY2ebCbDE,2024-09-09,2024-06-02,65,2018-2019
sn8oHabSMZCo,2024-10-25,2024-11-09,82,2024-2025
KnKYSs0Kes4j,2024-07-30,2023-12-23,51,2007-2008
q5EIT5DcXVBm,2024-11-02,2024-03-05,72,2010-2011
CqhbsfOxuVjj,2024-01-13,2024-08-10,52,2008-2009
Fdh0ONrXc2qQ,2024-04-28,2024-09-18,62,2011-2012
DSsK23rwMM7T,2024-09-02,2024-04-10,50,2005-2006
vybqH3c8qYiG,2024-11-20,2024-06-03,85,2024-2025
zdtgUyOKk9hG,2024-11-18,2023-12-04,69,2014-2015
osTmI8auhI5G,2024-07-27,2024-07-27,79,2021-2022
L2xgxoXxs6Yo,2024-06-23,2024-11-16,67,2025-2026
e1t9pKVeNpIf,2023-12-19,2024-08-28,60,2017-2018
fuYaus5D6AH9,2024-05-10,2024-08-16,79,2018-2019
BVwworGbIuQ0,2024-02-13,2024-03-24,55,2025-2026
BKJDj7cs1EY9,2024-04-17,2024-06-29,54,2024-2025
Fz01c6tpnQP9,2024-10-16,2024-08-31,83,2024-2025
h1tnpH2n9HJw,2024-08-24,2024-10-12,98,2023-2024
1igdigUobvHO,2024-08-26,2024-09-03,50,2025-2026
38whGHdDVsR3,2024-05-31,2024-06-23,83,2010-2011
pZ4ukEc7pa00,2024-04-20,2024-07-20,65,2013-2014
ykNdieFSBFtZ,2024-03-30,2024-09-11,54,2024-2025
oK1hGw5iIyfB,2024-06-22,2024-04-18,81,2026-2027
wnzKNYQsskFQ,2024-01-20,2024-02-21,99,2016-2017
TaYnBMlh6m5j,2024-03-23,2024-10-17,90,2017-2018
nk8Af8folhRi,2024-05-12,2024-08-16,54,2007-2008
E5fOwmo1r4Ho,2024-10-05,2023-12-23,88,2023-2024
dizarwIerVJu,2023-12-06,2024-06-19,83,2005-2006
XzsySsmxvJLA,2024-03-24,2024-06-26,51,2024-2025
16SkOsTCX4Tg,2024-05-26,2024-12-02,52,2024-2025
uTknU1xSXm7l,2024-08-30,2024-07-10,95,2013-2014
PR27ojRG0ik0,2024-06-06,2024-04-07,54,2001-2002
ayRKtkpzkf2t,2024-08-14,2024-06-18,76,2021-2022
w0bgo9hAuVcK,2024-11-08,2024-02-14,75,2006-2007
whMiSToQlhWS,2024-07-07,2024-06-29,76,2004-2005
QrUtPgeiSToj,2024-05-14,2023-12-24,83,2009-2010
kVpaiN5QDgLu,2024-05-25,2024-12-15,57,2010-2011
qPFaXvbDyQnK,2024-02-09,2024-11-18,91,2012-2013
8UgaS8og3UJt,2024-06-14,2024-01-07,81,2014-2015
U9uGJCWHtEHG,2024-10-18,2024-07-21,100,2002-2003
waKYWmHI2H9u,2024-05-19,2024-04-19,57,2012-2013
gmDqDKW67TDA,2024-09-04,2024-02-04,71,2010-2011
soFQDkAbMwSI,2024-04-26,2024-01-08,91,2023-2024
ehEBEVdNlGOg,2024-06-11,2023-12-21,63,2002-2003
lcSodx0W7d04,2024-11-25,2024-08-31,75,2027-2028
EE0iTm6qgG3x,2023-12-03,2024-09-23,53,2001-2002
GvFy74bBqWXo,2024-08-04,2024-06-27,74,2022-2023
gMTqinPFNhnf,2024-07-01,2024-07-04,99,2016-2017
MKPay2RMcnDs,2024-07-24,2024-07-06,51,2024-2025
GELSoJQypMLi,2024-03-30,2024-03-30,77,2005-2006
7ZUKQdqTtrOz,2024-03-16,2024-09-06,77,2004-2005
M24lyYs2TH9I,2024-04-15,2024-01-05,98,2014-2015
bqNzGE6G51PF,2024-09-20,2024-10-14,79,2027-2028
173PRqhzyUAS,2024-06-15,2024-02-08,64,2014-2015
aTCFKI8rzoXi,2024-01-15,2024-10-25,66,2021-2022
oYSA9UIS828a,2024-02-03,2024-05-28,84,2021-2022
2EBfAGh9AEz2,2024-02-22,2024-05-11,75,2026-2027
x9Udt5o3DIpb,2024-05-10,2024-05-13,88,2007-2008
ifST9S3q8GuY,2024-06-14,2024-06-22,97,2023-2024
BwWdhtymBCiM,2024-11-08,2024-01-16,82,2017-2018
Vqg2uFIT0TnK,2024-03-21,2024-01-30,88,2003-2004
MyPYcfMnNvfy,2024-06-08,2024-04-17,84,2019-2020
VabJhikiA01n,2024-11-09,2024-10-14,69,2002-2003
ibbA74okO4kg,2024-02-23,2024-11-30,79,2027-2028
p0Vz5vgO1gvp,2024-09-07,2024-06-28,79,2017-2018
HZNzg8ojiHd4,2024-05-29,2024-08-02,53,2016-2017
JmrhNuEAn61p,2024-03-15,2024-10-22,54,2005-2006
Vnrl0vyuFRYn,2024-06-19,2024-08-10,67,2017-2018
GOvxX8U45Ag1,2024-11-09,2024-10-05,61,2011-2012
sjj4y8KzVqc7,2024-07-05,2024-01-21,94,2002-2003
voohPPJ9FEED,2024-05-27,2024-04-04,89,2015-2016
s9qJeW6dxHFz,2024-05-14,2024-06-20,76,2013-2014
RvSvWx8LeGKu,2024-09-01,2024-01-24,81,2008-2009
9LskVOJmAxOL,2024-08-27,2024-07-11,84,2024-2025
cMhqxLeqW7M7,2024-05-04,2024-07-20,67,2003-2004
8ZOilNdSfrzj,2024-08-03,2024-06-02,58,2015-2016
kmbT7XDllzZP,2024-05-30,2024-12-22,53,2010-2011
RxE2oCsJ0hPD,2024-06-13,2024-09-10,61,2009-2010
8nGjiI6XPhP6,2024-01-03,2024-09-30,91,2006-2007
BTpLGGZdldsf,2024-02-10,2024-08-23,76,2023-2024
qX0SQ3Q4qJ7a,2024-07-18,2024-02-12,98,2018-2019
fi0gzETtANNB,2024-04-30,2024-06-18,95,2011-2012
CMfugr5mCUJV,2024-05-03,2024-10-05,55,2004-2005
CZYN31Sx25UC,2024-04-25,2024-06-11,78,2023-2024
TSKLE8KALkih,2024-10-15,2024-09-30,85,2017-2018
M1xB7cjF4g2h,2024-06-13,2024-05-14,71,2006-2007
8egbofbB7ZJR,2024-09-27,2024-07-25,100,2014-2015
bMEvMxq15RUH,2024-07-12,2024-06-22,75,2015-2016
cdH1boF10SHS,2024-01-20,2024-09-15,67,2014-2015
DiZilRwNeHtv,2024-02-17,2024-07-03,87,2027-2028
RiVQRum8n4uD,2024-04-18,2024-04-15,59,2018-2019
TPxhzzG1I3UI,2024-05-19,2024-03-25,66,2019-2020
KZ5JyUk4SkWz,2024-03-20,2024-05-30,82,2013-2014
n8l3zwzbO4Fl,2024-09-27,2024-06-07,75,2026-2027
tCP7NLbrQlKc,2024-03-30,2024-01-26,57,2022-2023
zBTrGNct9mHw,2024-05-24,2024-08-29,81,2006-2007
MrLkYHcfEncU,2023-12-04,2024-06-23,52,2001-2002
