id,grade,school_year,score
WBgQQ1TzhWHm,A+,2024-2025,9
aIewRX5G5I9e,C-,2012-2013,92
Rpqa8o7BFGfy,D,2010-2011,38
Bp254vSuab26,F,2023-2024,22
Ru2zvltC0kh3,B+,2014-2015,93
mLDgLdFMlMyk,D+,2020-2021,67
NXqMjE8J3so2,B-,2016-2017,50
UXPYLMVjiVLQ,A+,2009-2010,90
9L20CSro47qq,A-,2012-2013,51
NKjCGmYR0Qul,F,2024-2025,81
Im8o7dDAkq8z,F,2011-2012,16
MLf75ny2lBGk,F,2022-2023,24
HC2GUMblVC4x,D,2001-2002,89
ZE4wqiuDhbac,F,2006-2007,78
ZTK9BiWCXpz0,A,2003-2004,59
k8i0Gf7iVMQ0,B,2013-2014,70
vnjKtUwSaj9s,F,2013-2014,63
PqPHrwI6HHLj,B-,2023-2024,92
eEtTA0oF7DZa,B-,2025-2026,29
2XrS6R3n9LjU,D+,2002-2003,91
lNqy5dhGD36a,F,2020-2021,94
3pyl1uEb5oMI,C+,2021-2022,42
gK4ruE8GZqfM,A,2017-2018,95
qftkqtTGw3LB,C-,2027-2028,25
KnNJQG7cJIvr,D,2013-2014,58
fl6aacYP4B7u,B+,2021-2022,3
6UJ0QzXn3icW,A-,2006-2007,34
AZ4voifjy8Sl,F,2019-2020,69
VLIlvHQWDRUk,C-,2020-2021,14
mSP81CFm8qau,A,2016-2017,3
HXLCLmehO2ks,C,2020-2021,96
a4qi88EiSpQW,D+,2022-2023,10
1goXMavkf6Ux,D,2013-2014,5
s5CsX0tBjnPK,D-,2017-2018,35
sAUA19cknzkB,C-,2021-2022,53
w4coxzBUYeaa,D+,2025-2026,47
cFj7NBGDw9fw,F,2012-2013,75
l56z5x9YRHF4,C-,2012-2013,63
VO0gSHaB4BVs,D,2024-2025,56
cDk9m1xRb5ZR,C,2018-2019,99
m6DQkevSxkSZ,A-,2006-2007,92
Tj9gfM9fsFNa,D,2027-2028,90
xcTiY6pVQyFE,D,2012-2013,27
wd3lavGk0gIu,F,2024-2025,99
BNa6xkNg70Ap,D-,2004-2005,100
vupazh7IP3qC,B-,2008-2009,47
UV6Awj39dQaX,C-,2020-2021,9
aJX5g2CcIejN,B+,2015-2016,12
T2BiMlOhx9A4,A+,2008-2009,16
hGW8Muh1ee9k,C,2021-2022,14
oX0r07a7dd69,C-,2005-2006,12
1ElmWNXoLr3s,B+,2008-2009,34
mqoD8ltM8RHH,D-,2004-2005,49
TRBEy1L0jFhp,B+,2019-2020,68
V7yunIXse3ZB,C+,2007-2008,45
lmT0amEtcYPw,C,2018-2019,40
GaqMXZseX4cz,B,2024-2025,53
3Bcr2jImNXMQ,C,2027-2028,51
xsrjme3dGOBU,D-,2020-2021,63
xOOvc6iiVzos,B+,2004-2005,14
e7v8vtOo9krR,A-,2025-2026,2
P3BZ5FnifHoq,D-,2021-2022,59
ejCaCuMHciuf,C,2010-2011,52
Ne5PqPtfla9J,C-,2006-2007,95
CaraKoC1Y2Ll,A,2026-2027,90
mzc2xHB2Pbbg,C,2013-2014,99
6LPIkOkxwFxH,C,2006-2007,16
dDhLF07Sadqf,A+,2015-2016,54
ROnZc7fjLqYV,A+,2027-2028,35
zfcLpzBAm1pu,D-,2004-2005,12
cxEYMxTUvOZt,B+,2004-2005,84
XQsdO7PIOMgt,D,2020-2021,17
0NV3ChqyZ4GV,D+,2006-2007,62
oiAwfdKqeTNH,D-,2003-2004,17
zWtflQArhwmS,A+,2009-2010,98
S9hlvPapjkGK,D+,2024-2025,54
PjM1UEzoXtEc,D,2021-2022,24
KGNwg0tHLE5O,C+,2016-2017,97
gw887uorrVYs,B,2004-2005,85
TTVM7PHCGCmL,D-,2001-2002,1
FfRJXRUiQDf0,F,2009-2010,63
IWWTnddEEd8F,D+,2005-2006,99
FgChmJNsnKeG,D+,2006-2007,68
UOnjQjUL0m6C,A+,2010-2011,18
QJTgpRMG8nII,C-,2003-2004,36
ML04tkAZDSuX,D+,2025-2026,42
rw2fV3doD7uL,A,2011-2012,90
tkXp2lVHo7Cv,C+,2003-2004,4
KJnEha63nj8g,C,2004-2005,48
SZoymnMZcYdM,B,2013-2014,50
lFsUJifqFXA7,D,2010-2011,41
CPnhGgbWQ2HV,F,2021-2022,54
Hm7KZFVHC9zr,A+,2009-2010,63
RO9xQp1Kwlwj,D-,2026-2027,83
aVdn9cCHrbPQ,B,2023-2024,32
V7a0YDutygcy,D,2021-2022,55
O73yy3ILxbYm,C-,2026-2027,90
f0gnsY2ycEip,A-,2008-2009,38
AfsbtlrlOqsU,B-,2022-2023,43
IF74BZn9K6ys,D+,2007-2008,71
0jLYkbkJsjkN,C+,2007-2008,51
aDaWB7c6Hu1Z,C,2027-2028,5
uUNP71O1l46J,C+,2025-2026,22
4euiJqM8EfAN,B-,2007-2008,45
N1tqsubIM686,B+,2027-2028,16
mY51LZqyDxMQ,B-,2023-2024,95
B6lkqQ8eecXe,B,2023-2024,88
eiE7feOwCVhZ,C,2015-2016,99
ekjwJbH1GvWP,D-,2022-2023,94
6HapnyapseUL,D+,2018-2019,84
L65oG5Qei1nz,D+,2002-2003,63
FvuZ50Wpviy1,C-,2002-2003,20
hYh0oDOS3a9p,F,2001-2002,43
W2W1lPPUC4vW,A,2021-2022,9
RxlSeFrmuRuQ,C-,2012-2013,86
zbw2XwW33sBm,B-,2020-2021,1
8uhAKShe1a7a,F,2012-2013,39
01n8Jcskgyi7,B+,2009-2010,76
h5XPYAWvs639,D+,2013-2014,34
hxJXUdbwD9TU,C+,2023-2024,67
QBlFGI5kvZFA,A,2016-2017,74
5DvOUnBHulA5,B-,2017-2018,62
6wC5tX3fVtwe,B,2027-2028,37
IB7vC8EH2Usl,D+,2001-2002,18
gRTV4m8GX8ge,A-,2022-2023,16
xCkh0amGu9ha,A+,2025-2026,38
qY9yCXfWrieL,A,2007-2008,69
sRvbYtYaXHhk,F,2026-2027,31
Hx3U7KkscIMb,C,2013-2014,6
tnow7nmIR5Gz,C,2018-2019,50
XAR52BJlFeUr,D+,2009-2010,93
g2Ivt5VJuER3,A,2005-2006,44
eljpPEvWnHkD,B+,2026-2027,65
thqy6zTC3kUT,D-,2020-2021,51
6q48r668vs6T,F,2009-2010,73
1wNHm8YMHv2c,A+,2004-2005,90
41nJQsY105dy,D+,2010-2011,10
LxUunu2UMwN4,B-,2010-2011,85
tk7WKRjm304b,B-,2005-2006,6
q1wonZgrgb0t,D+,2020-2021,97
5VASFxF4uFji,A-,2020-2021,60
8dUicODCbgv1,D,2014-2015,28
JJ8JwGTRWImf,A-,2010-2011,86
ur8GkoWeIcQL,D-,2002-2003,12
2e6K1ns92zdB,A-,2022-2023,86
tCHIkA3ITPry,D,2016-2017,35
bxWmcZvwKZBE,C,2016-2017,98
7ytazECmBDRH,D-,2005-2006,69
ZUSLoEylEwYx,C-,2001-2002,92
miWbRGgItdGZ,C+,2007-2008,37
iqK9IwAYWBdO,C+,2027-2028,51
mOXcrr1pczhq,A,2002-2003,59
swk72YlLoQnw,C,2027-2028,3
l28hnlh1uucc,A+,2019-2020,83
MwJyNlkpH5Kv,A-,2024-2025,90
wXKlS8TMTUfj,D+,2006-2007,8
fKmJyvuxM64h,D+,2014-2015,43
8d5whO2UPq1t,C-,2027-2028,61
h5RRaj8SPjmg,D-,2011-2012,44
T9o0ZV6NHG0s,D+,2001-2002,71
uDbWz6F9Ekyy,C-,2009-2010,92
ed7aR3usmG7r,D-,2018-2019,83
cZgEbsuBPK3j,D-,2005-2006,41
39PWQGPR5RXt,A-,2020-2021,39
grt5LER6omxC,F,2003-2004,23
FOM8pePzGKDt,F,2014-2015,43
1mu0zpMN5uuD,D-,2020-2021,41
zlb2dCD5ZQdo,A,2001-2002,42
tHgzwjuokXg5,C-,2003-2004,41
9hdkBLbmtnph,C-,2023-2024,84
dZhkDDWjG9Gu,A+,2013-2014,86
ZGvVBjG6kwqB,D,2020-2021,18
7beoyK3N5j3I,A-,2011-2012,85
GEuQiwWpIfci,C,2009-2010,54
pbrF4XLrdqH5,D,2004-2005,57
Jlp1huDDy7vV,D-,2013-2014,74
UIIDcg1fkncy,C-,2013-2014,42
0HVaPPUE4tzu,B,2012-2013,22
As0gvr0vjCaz,D,2006-2007,56
TZ12p3xRLp2U,B-,2010-2011,25
2AtbHrP2OMhv,B+,2026-2027,67
v3Q0zJm7nP7O,F,2010-2011,78
NrRqneUVo5Mt,C+,2005-2006,64
rvT5vWFhxu7m,B,2027-2028,3
JBlr7tsKjeUG,D-,2018-2019,27
s1ve55CERnI3,B+,2001-2002,50
y7Q0mWhLBNte,A,2015-2016,46
2Hgj1pQ0iKol,A-,2004-2005,2
fyYHchCOwSwe,B+,2014-2015,92
8PDhcbDthKdD,B+,2021-2022,92
IuY3cCHTUAPW,B+,2015-2016,71
Kb3gq6ca1mvb,A-,2007-2008,55
Hpa5mKdO0ANi,A-,2004-2005,35
ZEeLEm7GVErE,B+,2012-2013,8
YmaZtUmWEzJg,B-,2003-2004,86
9hw8F4Fyh6eY,C+,2021-2022,52
MvxOLQlXKyta,D+,2008-2009,47
jjLhih0XdfWE,A-,2015-2016,17
LbCSNaZ1ToLP,B,2021-2022,59
ahrdeNOtCqC1,F,2020-2021,73
Ocxrna5PWCAw,B+,2025-2026,43
puBB0ydxqRFY,D+,2015-2016,94
yCcSY5cC8Qu3,F,2002-2003,59
boqlkDjrvZ1J,D-,2021-2022,78
nIV5LSyMd4Wl,B,2017-2018,92
PK4QkB6stTVJ,C+,2009-2010,68
JC9NZsHuzQsK,B-,2016-2017,70
8z0ZdKSuRmEh,A,2007-2008,56
LwBfnixCGxt0,B+,2014-2015,35
xhdgwXS568yH,D-,2005-2006,83
I89j7E3HLPPx,B-,2003-2004,94
dKDaF9WfA1Q1,D,2027-2028,99
3xFpFcINx5dd,D+,2007-2008,69
6JDk07yb0NAp,F,2025-2026,48
Dgk5qBbZuqOF,F,2008-2009,28
OVhpTFnIIoDG,B-,2011-2012,44
frYXOXodCJvs,D-,2019-2020,74
GO2AlBn6kyfJ,C,2005-2006,20
3soP2wxMKVOa,A-,2006-2007,70
fZFCwaQxe4HN,D,2027-2028,26
KIgu2F2TjHpm,D-,2013-2014,10
drifDJDSPl6j,B-,2019-2020,25
Dx47ch8TBkMW,B,2003-2004,4
a7wHYY2pO7sB,B,2020-2021,45
i1MDdvFmgVkU,B,2006-2007,96
9usmMInBrhGR,C-,2016-2017,34
dOqifA0Nu4nz,B-,2011-2012,94
t9wwddATSqyD,B,2005-2006,81
9ZdxK1XsrEvm,C-,2027-2028,73
3z0XIEkipMOF,D-,2003-2004,22
30hs0IdQ1DB2,B,2010-2011,88
grJggabaFkfl,D,2023-2024,70
IaX6n4UcqgUq,A+,2023-2024,26
1ZuvrOtQOX9j,D-,2014-2015,62
QxXw9FfGB8Ha,B,2019-2020,64
jpUCYvnAG2sc,D+,2008-2009,96
CqFQS0zSptno,D+,2022-2023,63
iGBb6RloM9Gv,C+,2002-2003,88
i0nrx8Vou7N0,A,2018-2019,89
NXJLQpokwTDV,B-,2001-2002,80
sgOOy89DSyqI,A+,2020-2021,89
1rJTN1suBGo1,D-,2008-2009,2
Y0fWmhRnA2SC,F,2005-2006,71
fnpO9Aeo7iwY,B+,2027-2028,16
Pcfu6KU3gNiI,B+,2008-2009,2
85SDuhS8TLFw,B,2008-2009,58
E9Z0c2xk99Su,F,2002-2003,7
Icf8AmxLbTR1,B-,2026-2027,14
JkeXVOihPqWR,A-,2017-2018,85
09k1o1XprMW7,B-,2022-2023,79
MTPynVqsT9Km,C,2026-2027,34
DS7jX1zTnJ7X,B,2025-2026,90
D29Afq8yhEAv,D-,2002-2003,4
lkBksNObYWoT,B-,2011-2012,65
cP1LPc1KjoEx,F,2023-2024,80
84tmf1tKTtY4,B,2007-2008,79
KRNE5d7DCPPa,B+,2011-2012,30
AI6ELS3Z064y,A+,2018-2019,5
dRnwSC0AooUB,A,2009-2010,81
rwrRaQ6Ubfge,B-,2023-2024,72
k7ySYF4MltfR,A,2007-2008,38
ZWrTf426IOEa,C,2024-2025,76
I4wwuPWQKZI2,A,2018-2019,32
K7hRumpM54BJ,A+,2012-2013,100
hEgTDV1MIoWE,D+,2020-2021,45
2ob3jfQhOXfR,B,2005-2006,77
8uwUfoI89TG9,D,2018-2019,34
Og5Qkv65bYe5,A-,2022-2023,36
LDQp61Udl50z,B,2007-2008,66
hwQaHO1vlFuz,B-,2016-2017,76
Ap8d0tQc6w92,C+,2022-2023,61
1eutZ3TmNQqC,B,2021-2022,19
l8L4yhMQ0F1r,B-,2002-2003,17
afi05hMpM72Y,B+,2018-2019,16
kofltNF4plwK,C-,2010-2011,10
l1zpka8VgTOr,A,2010-2011,31
TncLGKMzLCJE,A,2024-2025,11
YY7eXxUX8h6r,B+,2024-2025,42
KbCMFPDmijMv,B-,2025-2026,88
w5LPbJalnlzM,B,2005-2006,91
2Q6dSeho9JW6,F,2026-2027,62
bmi59UdJog4d,D,2010-2011,23
w6qMyYOgU1RA,C,2023-2024,50
fnemc1UNuEmy,C,2013-2014,40
2nV48btZvHmC,D,2022-2023,94
n8P5WjmdLYZm,B,2021-2022,64
YE9qJc5LutOL,D+,2026-2027,12
ilAbPmaLRsSV,D+,2006-2007,81
JhpVWmCu74uB,D-,2024-2025,4
ZSkl2rgx5DNj,C+,2016-2017,63
N7XKnV9P9r9h,C-,2013-2014,66
yhuKn9EKJM5o,F,2006-2007,15
efWCeleq2XfN,C,2004-2005,84
s94eUpqxTUmz,D,2006-2007,85
3KT3IWFtYHKx,C-,2007-2008,27
YAqQ69pLEHXD,C+,2014-2015,87
4Aeqsw6LObni,A-,2024-2025,100
vApxPMcLO0Jn,C+,2017-2018,51
ghGm0VXRNvED,B,2022-2023,28
WJNcftlpey4E,D+,2020-2021,87
ZXXgFdqoM2fb,C+,2016-2017,50
v24NlDGMz3BA,A+,2005-2006,40
p34Dd6HIgb0b,B-,2019-2020,94
yYfi6rg2Rt7r,C-,2015-2016,36
MGdVsjgVwfB9,B-,2001-2002,87
MXD7vFe6Vmvn,D,2008-2009,40
AKcaPFr70JaZ,B+,2015-2016,54
I77QpVp2xpax,D+,2012-2013,70
DIyAlgjwQSp0,A,2007-2008,17
giKTa1UIjZj8,A+,2027-2028,38
gGtlF9h6d6hZ,B-,2025-2026,7
6f524rau2BFJ,B-,2004-2005,57
gmZ9rtJavf8p,D,2015-2016,92
9sz9p5yWVpSs,B+,2024-2025,39
CYx3J8s2thOf,C-,2003-2004,83
VPFzptt73PdL,C,2013-2014,98
RfSY6NNSSphZ,C-,2006-2007,15
GZk7fgPUgMlY,D-,2018-2019,18
V0rwx5w53f6P,C+,2010-2011,2
d6AiXFPoE0rf,A,2013-2014,89
T9FHJMCjLQoc,F,2009-2010,23
70UoNyvoho59,A,2009-2010,65
wPR11MJK3I1i,A-,2015-2016,84
yFo0N6wCHMjf,A,2003-2004,2
RrBaEeMnbJML,F,2001-2002,62
0D7K5eTYKCwT,A-,2027-2028,5
dHSPFuLxdCxN,B+,2010-2011,95
yw8id60o6nLb,B+,2024-2025,34
196454Fz7QRo,A,2009-2010,53
qMYMHgrN6qpN,B+,2003-2004,38
jh4sGbRm4ZlC,B-,2014-2015,32
MDpoVB8fcaAb,D-,2004-2005,90
rF7kpX6mejgt,D+,2006-2007,79
mIeenzMmrbGu,B+,2002-2003,56
NjK4vdDRVLex,D,2025-2026,22
63gCuSuSgcSa,B-,2023-2024,16
MrfPfNyFSZAG,F,2019-2020,70
Q48jsJkqNyJF,D-,2002-2003,99
xfpZYYKCgWpU,F,2006-2007,81
03uS25gwwMA4,C-,2016-2017,37
7lOndkATkqX5,D+,2027-2028,30
RY25JZcbuQKr,C,2008-2009,67
WQ6vY4cB7MTn,D,2024-2025,65
7tEpLf08y6rB,A-,2021-2022,91
oD5vLwUpVt9B,D+,2026-2027,28
7AYRQV8dReXu,C,2011-2012,30
VCF2V8kxTKz0,F,2015-2016,39
fRxZEzTRWVEB,A-,2017-2018,62
E6arPTRR0fYB,C-,2010-2011,83
CyZwH3wxS6BX,C-,2018-2019,36
z1KnND0JAtgX,D-,2012-2013,2
AfOD9zXMK88c,A+,2002-2003,10
wrHoNaR8xCS0,B-,2010-2011,81
58q97OppTKL3,A,2023-2024,56
8mxLfhujpOXP,D+,2003-2004,40
kQU8nCsDnKDc,D-,2009-2010,24
O0B8YtET1mlx,C,2012-2013,9
YUPJbBojNEcf,C-,2026-2027,14
balGNIlOm9j9,C-,2003-2004,31
lwixgZFtO6fs,B,2018-2019,33
nU3aPAK1KVu9,B,2026-2027,69
mTQk1j079UPM,D,2012-2013,57
KsrGW1j1cx5T,D,2012-2013,38
gW4vqjh694Gw,C-,2007-2008,67
AALAylCQEEJO,D+,2020-2021,4
m87htYv98ciB,F,2008-2009,84
j1nEcUNnm9Vg,D,2002-2003,37
bhJ2zSAJLbmz,C+,2013-2014,38
VRRwhtwQIxE5,A,2013-2014,45
dEOq7yM9qM9P,D+,2017-2018,40
DXjnWtAVMjp0,B,2007-2008,35
W1y65NXrMT7f,C-,2017-2018,7
KofEWWc3lzHj,D+,2018-2019,65
elAsQWvsvg4F,A-,2005-2006,20
GGDFhyJtoP6C,B+,2013-2014,55
oSfnwnOQ1Hzd,A-,2012-2013,88
SSRSzYV18xqO,D+,2008-2009,31
jti2kTWNsQGw,D+,2025-2026,20
mQCkxNoQCn6B,A,2008-2009,88
wIfewNsLI49W,D+,2021-2022,57
RRKuXxkjnNgH,F,2001-2002,3
6VFJxjMLHn30,B,2021-2022,38
7WcMpGImuxkc,C-,2003-2004,84
8oe0EzPDhovE,C,2006-2007,92
X5Mq6rUpunSN,F,2017-2018,26
Urp9JN2vbm6S,C,2019-2020,22
wZnC9jxEUUic,D,2016-2017,24
0YI7RaPSU70X,C+,2006-2007,14
65eAZnv8kqod,C-,2004-2005,45
BaDT6r4MNghl,A,2005-2006,31
hjmNrNV2Bwtp,D,2002-2003,100
0Xf6asrI3zgT,A+,2002-2003,28
A9euALT3YJNs,B,2011-2012,59
lQnrwR2aNA96,A,2027-2028,70
Xx3SxyMdOFIJ,D,2003-2004,44
4EzcWQLaMNr7,C,2017-2018,59
2YuFMcNwvSfT,A,2015-2016,7
QeR2vUVNge3r,C,2025-2026,71
VoLysvELTMyI,C-,2002-2003,47
CHIhkRBxUO6q,B+,2025-2026,23
bPt6WhRZMxkv,D,2022-2023,9
lVt0YOpZreSS,D,2002-2003,72
P1oYaHWDWpQR,A-,2004-2005,12
oQtYwXs37xjT,A,2023-2024,81
uejLNRvnGGK0,F,2020-2021,26
eeDkawrlXF3R,D+,2024-2025,15
PhXX6j4C21va,B-,2001-2002,68
kydzXIZ7lP1x,C,2005-2006,7
6YuAegdF91H8,C-,2015-2016,49
RQw3IWB8ELXs,D-,2017-2018,58
4WDHFnQh14gY,C,2019-2020,93
YEa4KDtsJaWf,F,2025-2026,87
DF7EiNUxIzWd,F,2019-2020,28
e3ZAgvcgSkxl,D,2021-2022,98
dyczocz009tr,C+,2020-2021,57
cpZ78KX1X5Qx,A-,2021-2022,45
WLpJQ7pRTy84,C,2004-2005,40
PYb86ls6d1P7,A-,2004-2005,50
kpA519nz1MrX,F,2025-2026,38
dRyjVN48saZP,C+,2007-2008,67
6CD8IVP9BUJg,A,2003-2004,21
hhHRRQ8ETKF8,A-,2018-2019,52
b7a7es2tn68n,B+,2003-2004,13
lCwYNhIWOFKz,A,2017-2018,14
Kz0XRknQxmga,F,2019-2020,46
HIbmxF87E539,F,2014-2015,5
x5nU9WjC8ZuS,C,2008-2009,51
d0O6zKcS8nZd,C-,2021-2022,49
uC7KgBS5rtyj,D-,2024-2025,84
YIqhITTxQ3PT,C+,2027-2028,23
HGfSTXCdLAWB,B+,2009-2010,97
lwG02z818eLa,A,2005-2006,27
wDqm3EBV76MH,B,2024-2025,8
nRy4k9XzfItT,B-,2006-2007,20
bsRbB8Caivna,A-,2003-2004,76
lwGMUUHue80s,D+,2005-2006,34
n4Uqey6zyApi,C-,2002-2003,69
iwUSU573yLsr,D,2008-2009,29
G9CsGgsnobbu,D,2004-2005,61
IjydPnBu6iGu,A+,2022-2023,21
5VhHun2JsKDn,C+,2011-2012,76
