id,day,school_year,start_time,end_time
FSIQW2C2YB7X,Wednesday,2025-2026,02:12:15,20:08:11
m3ZoV1hYSmk9,Saturday,2024-2025,04:15:33,14:21:03
SoYTKBVO3iLR,Monday,2019-2020,17:36:00,07:48:31
t4otksVcNB4m,Tuesday,2022-2023,14:41:53,12:46:09
c2waFei7e8pl,Sunday,2022-2023,04:35:23,00:28:37
eU28CsqvUzTz,Friday,2001-2002,02:37:07,21:31:14
PjsIzjYoyb4N,Thursday,2011-2012,02:17:26,14:27:56
Hv8EBAZRQMp8,Tuesday,2008-2009,01:42:43,01:42:29
dCcLstvH9IUT,Wednesday,2011-2012,13:29:17,19:39:19
Y9lNCF9mA4sG,Tuesday,2004-2005,10:01:59,12:34:18
ltvRKajDLY5j,Thursday,2018-2019,21:28:40,21:54:20
Sza168KsJaM4,Sunday,2019-2020,16:19:08,18:27:12
lJPcTn8sXMqs,Thursday,2004-2005,01:54:16,16:02:54
o5ZQ8Nh3v791,Tuesday,2027-2028,05:22:54,14:24:30
D1rT6JLH3BNi,Saturday,2003-2004,05:18:20,16:20:23
svAa8g7Axj3m,Wednesday,2001-2002,03:14:39,09:14:14
bsSSpvXitNMn,Monday,2006-2007,23:50:58,01:15:00
qiaUtwP2vAAQ,Sunday,2016-2017,14:28:27,05:44:57
A3LOTC0waX23,Friday,2006-2007,07:24:03,03:36:14
U6IUSzzyEnoq,Thursday,2002-2003,04:10:49,12:22:49
SYbTYUx1ck4B,Friday,2026-2027,06:13:23,22:09:03
w42dpjUH4HWC,Saturday,2025-2026,04:41:51,08:24:38
ywvXu2U0L1wX,Thursday,2013-2014,15:43:23,04:47:15
sP6rsOVK5xzV,Wednesday,2005-2006,15:02:06,19:09:26
Y0XvJKqit3SD,Friday,2026-2027,23:48:35,03:16:59
DQROdXGhhrH4,Thursday,2016-2017,04:40:42,09:27:07
YoMGHgdRpkEI,Thursday,2008-2009,08:56:50,16:19:24
DUWdaA5mzuZt,Tuesday,2024-2025,11:44:55,21:07:04
zFQy21tJkuFm,Saturday,2008-2009,05:12:56,08:02:40
405eSVfcKphB,Wednesday,2025-2026,14:02:16,16:48:47
SvEEKMjHley1,Sunday,2026-2027,14:40:49,12:27:10
rPSMitixYs9o,Friday,2027-2028,14:17:02,03:12:08
vFZzskDWMxEE,Monday,2012-2013,16:11:45,21:43:20
IFOhMMMtLByr,Saturday,2026-2027,22:17:47,17:12:00
0iPQRZSsFMpO,Monday,2007-2008,19:56:18,09:06:30
jz9BeSdMNAp7,Wednesday,2013-2014,22:01:26,20:51:20
kW3fmYoUL9aI,Sunday,2003-2004,11:20:04,21:17:16
QGwXjCh04aRA,Wednesday,2014-2015,15:37:53,15:54:37
KF1OcHlnvxwF,Thursday,2013-2014,17:48:51,20:42:41
cr0F0ZKdXWKQ,Thursday,2018-2019,05:18:59,09:03:07
LEzBH2suvGNe,Tuesday,2002-2003,10:07:16,15:17:54
swswt73CWUOy,Sunday,2019-2020,22:17:32,03:21:57
cbynFMD3rVFy,Saturday,2013-2014,14:31:33,21:07:55
BDSWg6nDVHYb,Friday,2024-2025,12:06:04,12:07:35
vNO6Fqcjylrp,Thursday,2014-2015,03:13:45,18:05:56
0FqNJVRvkl6C,Wednesday,2009-2010,11:40:07,04:56:49
xlNqVpYtZGf5,Friday,2002-2003,17:18:55,14:28:40
UcRkMoxidCfz,Sunday,2010-2011,01:18:55,16:28:41
jAq1jobMORHQ,Saturday,2018-2019,19:11:50,04:53:36
GDtYFDE4E4BI,Thursday,2017-2018,06:46:54,04:07:37
wxVHxwfilqiR,Saturday,2008-2009,00:14:12,22:42:52
4RKyMVQ1MXNr,Sunday,2002-2003,06:06:17,19:23:15
BJNpslxF4pKh,Saturday,2007-2008,06:22:07,04:32:49
aNuXPzB5UFDI,Tuesday,2006-2007,10:47:19,17:17:32
tsR8MBFGYz1r,Tuesday,2019-2020,15:43:14,21:48:11
vp6qBCaDOXZQ,Saturday,2027-2028,00:40:56,19:49:24
N9e6cxmoHfIO,Sunday,2009-2010,16:23:21,15:01:54
EZObUPZcsk6U,Monday,2025-2026,17:32:12,23:13:25
kxL56TcCb4BT,Monday,2002-2003,14:53:56,07:19:18
N9dOWRHf3IpD,Thursday,2025-2026,02:39:21,07:23:44
tYsojXEDQaL2,Monday,2020-2021,16:46:19,20:22:00
Mno4na7omp4U,Friday,2019-2020,05:27:55,18:19:10
72UuPJYneitF,Friday,2016-2017,00:01:39,05:40:23
vvB39rfysS8q,Tuesday,2008-2009,19:48:31,13:48:32
12fVtuLAbTRu,Wednesday,2020-2021,15:53:20,19:42:54
0g4dlGWmJU6S,Tuesday,2025-2026,15:20:43,19:54:59
ur4iE6cxU3v5,Friday,2014-2015,18:47:57,07:54:49
VrChSvq5oZCt,Wednesday,2027-2028,05:51:14,19:41:38
HZaNNDDKvJwg,Sunday,2021-2022,18:31:11,10:01:55
ZleYV9JrdEyY,Monday,2014-2015,05:41:27,02:28:26
1W7wWX47SICX,Thursday,2027-2028,16:24:31,18:29:39
v0Cy3AKnysoX,Monday,2007-2008,09:11:58,06:40:53
XFgD0OuGgWGH,Wednesday,2024-2025,07:40:17,23:22:18
j9uOwYBMnoq5,Sunday,2010-2011,07:22:40,20:37:33
6lCPVCb1IlRu,Friday,2006-2007,08:11:57,10:40:30
gZSRRCd4sLNR,Sunday,2022-2023,22:41:07,21:20:47
1bsckaJ85VVo,Wednesday,2012-2013,04:26:24,09:14:33
vp5TovZmNzwq,Wednesday,2025-2026,20:17:31,12:31:39
PzgwF9zdjDBS,Wednesday,2006-2007,17:46:34,13:15:21
pzNPM0IrRD04,Thursday,2010-2011,07:44:26,02:52:18
70Z1hzBr4Kz1,Thursday,2008-2009,08:24:23,22:29:38
CTHT8PwX93VU,Monday,2021-2022,19:40:12,07:09:33
gDzWDf8icNmI,Monday,2009-2010,11:15:15,03:21:55
gCRzFLrYzRpn,Sunday,2019-2020,12:40:47,12:18:44
lnQREuxbePek,Tuesday,2004-2005,16:46:58,06:16:07
FVPBZOdPi1pl,Saturday,2018-2019,13:42:45,08:25:28
4o6oblLUvqgU,Saturday,2005-2006,23:42:59,23:17:47
6nKv9Ti7Jroy,Wednesday,2001-2002,13:34:30,15:13:07
HviWU2t1jaDt,Wednesday,2004-2005,02:27:05,14:14:25
tBuPLLhSlnBS,Monday,2025-2026,13:38:21,12:47:50
1BHJC9BImiCB,Sunday,2026-2027,05:40:19,22:42:49
HaVsIYDEj0ei,Thursday,2006-2007,01:57:17,07:26:51
AfzVXkjgTNbx,Tuesday,2006-2007,10:54:45,19:21:32
hF6CF3BnVqZI,Friday,2026-2027,02:42:26,09:19:17
RcIWNzSjLEVI,Saturday,2019-2020,03:58:21,18:56:15
XBDSVkhl1N57,Monday,2022-2023,15:18:14,20:11:27
K6RKAPXZ8lZN,Sunday,2011-2012,11:45:50,15:55:38
iZEXrCsulXrD,Monday,2006-2007,00:17:51,08:48:05
vR7DvDEsU5UA,Sunday,2022-2023,00:16:49,07:54:03
oASk4aF8ashY,Saturday,2022-2023,10:04:10,06:30:17
fThGq848gYrI,Wednesday,2002-2003,10:34:50,20:03:08
4oqO0okNqjfz,Saturday,2021-2022,23:27:36,08:25:05
97BzU2XvCTLI,Friday,2013-2014,13:49:22,18:03:45
Ivqs2E63rnU8,Monday,2016-2017,23:46:56,09:57:30
Y2DXHGvwrQYp,Friday,2013-2014,16:48:40,10:29:58
ZxVHD2Odn6HD,Tuesday,2006-2007,10:42:45,14:17:57
TFvl28rhN052,Friday,2015-2016,17:56:58,05:51:29
Bk87Z46fna8b,Friday,2026-2027,08:52:53,21:07:34
lpHRU4xpFUIU,Monday,2015-2016,11:49:17,09:58:28
Zv4COOFnmalR,Thursday,2024-2025,18:02:40,01:30:23
tYNVZrd2HP8h,Wednesday,2017-2018,04:15:44,13:45:49
WUwbsuaT8iXF,Thursday,2007-2008,01:03:04,15:52:32
HlpgoCm3HymC,Sunday,2008-2009,06:54:44,03:23:06
YUPaY2KhVapY,Wednesday,2016-2017,15:35:59,13:13:57
g6dXLpB8uzce,Tuesday,2017-2018,13:12:08,06:10:46
N8uBXWoIOUze,Wednesday,2011-2012,06:32:28,10:22:16
8BEjWNesXiDb,Saturday,2008-2009,16:06:50,13:23:27
AV3gMM0PpY3a,Thursday,2020-2021,23:35:02,22:34:33
e8DHVbzd586J,Sunday,2023-2024,15:44:06,19:31:51
IMSJppvUEegs,Sunday,2003-2004,22:08:16,04:09:40
ateEODG8a1tF,Monday,2020-2021,12:37:13,09:52:51
QuFmRok51wcA,Wednesday,2002-2003,13:19:03,14:55:15
kbxo5dqyC2yr,Thursday,2027-2028,07:53:46,20:34:51
kqoGHPXNBPUQ,Tuesday,2015-2016,16:00:26,07:12:30
QwOKnXTyDrZd,Tuesday,2016-2017,17:09:49,17:56:50
EgRm7qQER6yy,Tuesday,2015-2016,20:14:31,20:30:02
ZKT72NWEn4WN,Monday,2001-2002,13:44:15,02:39:57
WvGXvANvCxEx,Monday,2003-2004,11:32:05,05:49:46
Z9iBl9bEdBnr,Wednesday,2010-2011,18:51:02,16:46:53
2U7odDRfqRxh,Friday,2007-2008,05:24:24,04:33:56
f4MQRfk7fdHq,Wednesday,2017-2018,02:02:24,03:56:06
VjIfDgNYohuh,Wednesday,2006-2007,05:16:06,01:59:15
w9Xot14tbrSQ,Sunday,2025-2026,08:35:57,23:57:46
koz3tEkfaAdj,Saturday,2001-2002,06:44:05,20:12:32
FjroyVcWNK0V,Friday,2004-2005,14:21:01,15:37:49
FcIgO36WMpop,Monday,2004-2005,11:38:10,04:18:13
JobtreOfj6eh,Saturday,2006-2007,03:05:21,13:59:21
lt2ukPntrFUj,Friday,2017-2018,10:44:53,13:05:01
cpqcSYcufbzu,Friday,2023-2024,21:29:56,16:21:33
xrTXq3YsBkTJ,Monday,2012-2013,13:15:55,21:07:20
BbA7J6U1zwEy,Saturday,2001-2002,19:42:46,16:59:07
fXFs678gXJq1,Monday,2003-2004,08:15:35,09:42:35
X8pRhwDAHNet,Wednesday,2014-2015,18:22:49,10:43:04
1mQT4GTTtBZM,Wednesday,2015-2016,16:14:32,17:40:53
sP2N5oATQSLd,Thursday,2004-2005,06:23:03,06:23:28
fVIGxFDy8Tu9,Monday,2018-2019,19:58:47,16:51:36
BMUy9eP0JRnK,Sunday,2021-2022,01:02:23,11:40:38
i9fYP5dQ8FPp,Tuesday,2012-2013,20:56:25,13:22:35
RVqdmmjZDUZi,Sunday,2012-2013,21:57:00,13:07:53
ZGPNs4i7slNW,Monday,2025-2026,14:05:43,04:41:40
jSnjdDvwtA9w,Monday,2005-2006,16:23:59,14:14:10
KIeFEClvriMI,Saturday,2019-2020,08:38:58,05:10:46
Cqd5hohGluTo,Thursday,2023-2024,11:59:44,20:49:09
09jkscYmNRjc,Monday,2025-2026,08:39:56,02:11:13
hsxmYfPY7ywB,Saturday,2012-2013,04:06:11,17:12:21
n5vbNaVRJfrf,Tuesday,2027-2028,18:40:25,13:53:09
X6kUmlK5geAa,Tuesday,2009-2010,11:13:20,19:11:00
KqZmiqcxCVjM,Wednesday,2008-2009,22:50:37,04:59:21
KN1iSyxbwPKB,Monday,2007-2008,20:06:30,07:26:42
xb8IoLCZ68fk,Monday,2006-2007,02:29:42,18:11:42
zfEFI4NrghZY,Friday,2024-2025,01:08:18,16:10:08
UfxSxqXHHDe5,Saturday,2015-2016,12:49:39,21:35:44
19AVk5SZZltH,Monday,2019-2020,12:29:29,12:53:27
66yNq1YbYGK1,Thursday,2021-2022,05:32:22,11:21:19
NfQ5Ksu1wbC3,Wednesday,2003-2004,03:51:37,14:33:52
hbRcBMhyjyRF,Tuesday,2020-2021,17:29:50,00:10:26
5T6ZXjVulOLZ,Friday,2010-2011,02:22:49,18:59:46
8kvcWSDTeHvy,Wednesday,2027-2028,02:41:00,23:04:29
iWw4ucDPBEEr,Tuesday,2009-2010,18:45:35,00:41:54
4CHWHErivL9V,Sunday,2010-2011,08:43:47,16:29:54
uuEBcmF4miAk,Sunday,2022-2023,13:31:40,01:52:23
hIhAQbJ6OQFB,Friday,2005-2006,20:55:10,08:14:14
G9JpaYpWAkAt,Thursday,2003-2004,21:03:56,02:21:14
udnYiVmMYO38,Monday,2007-2008,21:28:09,05:46:32
cbRcWDE2KJCV,Tuesday,2014-2015,07:59:39,16:35:22
LJosUm2heyyO,Friday,2013-2014,03:57:34,13:02:30
KnbPrfpTrFpG,Sunday,2023-2024,06:52:02,19:26:57
SHe1r3Yan6tN,Sunday,2007-2008,04:40:16,20:28:30
3sctb4jxWMu4,Friday,2013-2014,07:23:00,15:22:24
4UEaiKYKv5MY,Friday,2017-2018,07:22:53,16:55:40
xzNkX7ZwWe7E,Sunday,2016-2017,04:08:15,22:47:52
lcDGQnoxdGXk,Sunday,2015-2016,07:52:28,19:51:56
1Q8g3vVcgUzD,Wednesday,2026-2027,10:46:07,02:00:33
mbbqy1p4xuNR,Sunday,2019-2020,15:15:37,12:54:02
ZgZqayFooQdf,Tuesday,2022-2023,15:16:22,22:44:57
dw3CEuqpIIRO,Friday,2027-2028,03:28:05,08:09:04
tE1Vk7wcCwxC,Sunday,2008-2009,06:57:39,00:43:01
3ydeSriUjOQo,Saturday,2018-2019,08:50:16,14:51:46
q0YGrWrrnNWp,Wednesday,2004-2005,10:02:27,07:42:32
Ggujq4fffGyk,Saturday,2020-2021,06:32:27,16:52:40
RDxZF8Wim1zr,Sunday,2012-2013,14:29:22,11:49:39
WsuAK3N5Sfp4,Thursday,2002-2003,19:33:11,17:09:49
8JpTQXLZpuEv,Thursday,2022-2023,14:11:22,18:50:19
XqGlNibRfbLu,Saturday,2003-2004,14:27:00,07:35:50
fk26G1KmgdeY,Saturday,2009-2010,07:46:49,21:42:40
f0hNUjcWCWgK,Monday,2015-2016,23:49:32,07:58:13
35PzjmRgOkLQ,Saturday,2021-2022,10:45:56,06:47:29
KzQ1KPeKlmft,Thursday,2019-2020,21:06:18,01:30:29
vDgzy34dqOKd,Monday,2014-2015,11:58:24,00:02:57
C7BQnSJgrP5H,Saturday,2025-2026,09:16:02,10:10:35
faqafg5ywEcD,Wednesday,2014-2015,05:02:44,18:33:14
yEE8MRET54As,Friday,2017-2018,09:34:00,21:14:03
1KqebmShLgxh,Monday,2021-2022,03:23:54,08:24:59
nMv3fMU5KkRS,Friday,2004-2005,09:05:48,09:19:22
CLGI8IF2jKTd,Monday,2020-2021,03:40:52,12:37:06
x6suYt2KIRvA,Friday,2023-2024,11:16:17,16:35:33
JwtgpyxtDIyS,Friday,2004-2005,04:09:15,18:43:07
EZs2Yuq6ZqOc,Friday,2008-2009,23:15:58,21:37:06
NIYvKwrYad2F,Wednesday,2014-2015,05:58:47,20:16:12
uX2ykaG1msjD,Tuesday,2004-2005,21:33:05,16:37:54
vRGYuAWSSYGr,Thursday,2016-2017,18:01:10,03:28:38
C4gPzMa7TkxZ,Wednesday,2007-2008,00:11:03,05:17:33
PotYyOor8gNh,Saturday,2019-2020,09:48:37,05:26:01
QhH0QD2mZ7Hs,Monday,2008-2009,20:57:58,13:10:46
FnfIx4jSpWKY,Friday,2004-2005,07:20:14,12:04:39
6ncG2mEmxY7j,Thursday,2015-2016,14:29:14,13:10:26
wGwqUXTgrAdL,Wednesday,2001-2002,18:14:08,20:27:49
Yk4CcnynvM1b,Friday,2004-2005,23:42:42,05:24:34
LMAkGgYxY5S4,Thursday,2014-2015,08:42:57,09:57:09
AmQygvxgLxdO,Tuesday,2018-2019,22:52:54,06:28:39
195alB7dY4Vr,Thursday,2007-2008,17:40:19,06:49:42
8KpGjCKOgup2,Wednesday,2016-2017,06:31:34,16:41:37
ci64CuSjXhO9,Thursday,2015-2016,22:55:40,02:44:59
PI5ZfX53Ytaj,Saturday,2010-2011,06:39:42,05:50:30
meNj1W5y7T6o,Friday,2021-2022,12:47:28,08:23:45
cfUXiIb6Grts,Saturday,2011-2012,18:49:50,09:39:23
RO19r29UECco,Wednesday,2020-2021,11:19:11,21:16:46
zc5tneoPYLiw,Tuesday,2007-2008,18:55:13,16:30:52
5J4aErAttGtF,Saturday,2009-2010,12:17:04,14:47:58
KuwbTRR9ZIT3,Friday,2015-2016,00:45:28,17:23:48
ZUT2ySIvxweg,Sunday,2006-2007,11:46:56,18:55:55
sSfUVVY8GkWQ,Saturday,2015-2016,12:50:48,09:50:35
fiuJTSGY2Ier,Saturday,2009-2010,09:46:48,06:23:04
R3FZgvoNnebU,Friday,2016-2017,21:50:40,09:41:57
EbuSxmDqe8db,Tuesday,2023-2024,00:08:44,16:59:55
792F4d3naG5s,Friday,2009-2010,05:00:33,20:44:01
Mbrv5hl1EkHT,Sunday,2023-2024,06:54:51,05:58:30
a2c4xtG08Ywr,Wednesday,2027-2028,13:48:30,20:36:52
tYG4UhJAn7Vx,Sunday,2018-2019,18:37:31,02:54:18
hvxU0eKnCUXz,Monday,2007-2008,10:11:10,16:20:08
zp0rEcjGj0rO,Wednesday,2006-2007,10:36:53,08:47:58
6niQU2dw2nhQ,Friday,2013-2014,15:04:48,06:22:45
vyaC5NiuI3cx,Thursday,2008-2009,22:18:56,15:33:58
NBrtu7oRl2cq,Sunday,2016-2017,04:58:31,09:46:26
CoTrZqH6cnva,Sunday,2027-2028,01:03:05,10:31:15
wpBAfhWLZoUY,Friday,2021-2022,17:01:40,16:41:36
K6Z2JKqaMO1B,Monday,2013-2014,20:53:03,12:45:16
kPWObbRch0Ls,Thursday,2012-2013,01:11:14,17:46:25
5dK5AVj5aZX1,Friday,2012-2013,19:34:38,19:56:00
DaWWeNpsbzCJ,Friday,2006-2007,08:35:59,08:25:36
tcc61VDRXSRI,Tuesday,2001-2002,22:53:30,13:53:18
ouuggPpkQNWq,Friday,2020-2021,13:21:39,19:59:29
JAqVcIvOL4Fx,Wednesday,2021-2022,19:05:32,23:34:07
lu4UqwGUIQ7L,Sunday,2024-2025,06:30:31,17:07:53
DYzgqHOtTjy2,Sunday,2022-2023,03:20:56,08:24:25
1iBtbN04dkZV,Wednesday,2011-2012,10:03:25,06:57:09
hMXQ9p61NVh5,Monday,2010-2011,18:54:27,10:13:23
jc6HV2iYeQNo,Thursday,2023-2024,04:27:17,04:33:29
vzhcFfHdqw9X,Sunday,2013-2014,06:12:36,23:12:32
CfeSRGPG2yB5,Monday,2003-2004,17:10:34,07:07:39
5rX7YQxnkwZY,Saturday,2005-2006,08:02:54,19:42:57
yUKTVOFcLrhT,Wednesday,2015-2016,21:02:42,00:06:23
dPVE48AOE8J2,Tuesday,2014-2015,22:50:35,05:01:01
T882BRjTGNL8,Friday,2017-2018,19:11:28,21:17:01
tSE82oNk0Ue8,Wednesday,2027-2028,11:32:45,10:02:08
lk1c08NsgI2D,Thursday,2022-2023,19:54:53,18:34:31
RaWUpiILQOW6,Sunday,2015-2016,00:40:50,21:20:20
yvvtf0PUSIU5,Thursday,2020-2021,02:20:47,06:51:09
zmxhboB7jcKf,Saturday,2018-2019,08:37:55,02:25:26
72qJwdJUb6go,Tuesday,2022-2023,03:30:41,19:12:43
01VwMh4jd4d5,Monday,2017-2018,02:13:10,06:27:40
vKw9jQHxmTeG,Thursday,2018-2019,14:47:01,22:29:25
rw31QZ3k1FtB,Wednesday,2013-2014,07:15:02,03:00:59
9n7Far2DBXRt,Tuesday,2022-2023,17:08:35,13:13:39
Ka30WO49BmXf,Wednesday,2025-2026,21:25:40,10:57:26
NwnKWVfQUEd9,Friday,2005-2006,11:59:20,18:11:27
5PhE9SrlfHvh,Wednesday,2002-2003,13:32:03,11:16:27
uqQjliiucg20,Wednesday,2024-2025,21:24:14,14:39:27
w1M7oxpE7Mfy,Wednesday,2027-2028,06:07:44,21:14:09
7A8UHGMbNm7h,Tuesday,2019-2020,07:28:54,13:36:07
OtDkrNhLpLX5,Tuesday,2018-2019,11:12:03,15:58:58
veTjPAwlQn9I,Sunday,2015-2016,06:29:42,15:24:27
7BZhN1WY9hEC,Sunday,2009-2010,09:13:09,16:46:55
ooqMT1kdqw7S,Sunday,2021-2022,20:55:06,08:42:45
QFQqsPp7piZn,Friday,2003-2004,02:16:59,11:29:23
htph7emSarg2,Wednesday,2005-2006,14:21:01,05:32:12
Ndq2eRIobwIk,Tuesday,2023-2024,09:56:33,04:59:05
BdEHbk2jb0YY,Wednesday,2026-2027,11:28:59,15:29:39
pOdqJCrJtpYY,Monday,2010-2011,15:55:08,00:35:57
UWtSrVEZ9tSu,Monday,2009-2010,01:12:07,08:23:37
EXixdr7hbMgj,Saturday,2022-2023,15:25:35,21:34:03
RSJYJFwYSf5W,Monday,2011-2012,22:43:29,12:22:32
gmNQdiqt1DSE,Wednesday,2011-2012,19:35:52,20:42:00
ihxNbBIkYSuv,Monday,2012-2013,17:44:03,02:51:13
7oJbR2SOMgMG,Thursday,2011-2012,03:30:57,21:41:12
K6YuVDdhnE5z,Wednesday,2008-2009,18:17:27,18:32:23
ocRMBThpANmP,Saturday,2010-2011,12:10:41,15:35:55
1B4y1C4dnDkJ,Monday,2023-2024,06:50:02,09:51:09
rxxxDgqLkW4Z,Monday,2027-2028,10:05:33,11:07:18
G5rWOWqGtuV5,Thursday,2011-2012,09:31:34,02:32:51
XyLDa5ihw4Pv,Thursday,2013-2014,19:33:09,05:04:58
78L2wGZj1wiA,Saturday,2011-2012,08:46:29,20:40:43
xQa8fT24tNGY,Friday,2022-2023,15:05:52,01:09:38
8ab9IMcTTTMY,Saturday,2001-2002,10:27:30,22:07:30
XXgQMc0qlA3x,Thursday,2019-2020,03:59:58,22:15:49
